"gene"	"neg_log10_pval"	"neg_Log10_padj"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"EEF1A2"	8.35862410650762	4.20995976652539	3987.05229690689	0.712118304098402	0.123467191870927	4.37900956174093e-09	6.16652126484358e-05
"TMC7"	7.59666915037532	3.74903480605706	393.037088683711	-0.727318623413237	0.134487851024797	2.53122557360017e-08	0.000178223592637188
"CLEC3A"	6.30613609967008	2.63459301440751	67.2733850324156	1.45027903397514	0.427716473402743	4.94155803644119e-07	0.0023195673423055
"SUCNR1"	5.96318651926572	2.41658217061144	53.425152899816	1.45583974203998	0.57704280304342	1.08846252388135e-06	0.00383193231532428
"ZC3H12C"	5.8659781229635	2.41628378731729	42.1518328691446	1.24818106210646	0.425614660815673	1.36151326525121e-06	0.00383456596025351
"TEK"	5.69371223935719	2.32319914975859	34.295908278002	1.11142433708273	0.392052916991519	2.02436006194748e-06	0.00475117306539073
"FN1"	5.2994531914298	1.99588689146182	32.0280117197509	1.13859174545588	0.702185736897292	5.0181866249681e-06	0.0100951577218287
"ALCAM"	5.13324781699667	1.92840733565233	1795.10874318117	0.460136103241381	0.219301906525982	7.35787123039439e-06	0.0117921410242218
"ZNF503"	5.08917180431382	1.92840733565233	190.03044015753	0.507059817258028	0.24679805597497	8.14382055592033e-06	0.0117921410242218
"MUC3A"	5.07707167563457	1.92840733565233	854.987570750645	-0.352990767733798	0.185886220858487	8.37391068329913e-06	0.0117921410242218
"MCUB"	4.80414563879314	1.69687398396913	603.452552990702	0.742605257227083	0.492099509904307	1.56983627818671e-05	0.0200967586085684
"RDX"	4.65515879070682	1.58567569677221	1482.95137722904	0.299185673606797	0.228837522998783	2.21228568565718e-05	0.025961172521187
"SPECC1"	4.59785017335236	1.56312918567696	480.705037141775	0.268275631308353	0.220304216647504	2.52435149477902e-05	0.0273445521149832
"MUC2"	4.48360138128892	1.4891640406874	143.899956561587	-0.417768963574243	0.348453982658801	3.2839657477193e-05	0.0324217131688007
"PTGS1"	4.46173712161396	1.4891640406874	170.784355554623	0.458646418519372	0.389973360551885	3.45352718031537e-05	0.0324217131688007
"ZNF614"	4.34756752953759	1.40302317221128	710.937685365922	0.190549845085623	0.205441053767671	4.49192473176148e-05	0.0395345525454157
"IRF8"	4.26146488882654	1.34324947022257	416.990508647897	-0.488057287734135	0.618574595888959	5.47690378002814e-05	0.0453680935472684
