"gene"	"neg_log10_pval"	"neg_Log10_padj"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"TMC7"	19.271647828853	15.1315170504819	393.037088683711	-1.31198942168526	0.146398648262189	5.34998015595012e-20	7.38725259933593e-16
"EEF1A2"	10.708118317804	6.86901753509686	3987.05229690689	0.814660481095835	0.123282732485143	1.95831108479631e-11	1.35201797294337e-07
"IRF8"	9.74470020665188	6.08169068300041	416.990508647897	-0.897612178577875	0.143702362349095	1.80011310386362e-10	8.28532057938298e-07
"ZIC5"	8.66106414812518	5.12299336108201	44.7526542608329	1.3125297103574	0.232216770024552	2.18240753222e-09	7.53367080122344e-06
"MUC17"	8.3418993248897	4.90073855085458	54.7666699537864	-1.22502409841383	0.22000434534972	4.5509354452683e-09	1.25678633256529e-05
"ZNF503"	7.52169854730258	4.15971901931509	190.03044015753	0.746677570884622	0.138121951454813	3.0081636061126e-08	6.92278717886714e-05
"PTPN7"	6.46566352595075	3.17063078759387	246.749042720861	-0.730652057043296	0.153228444940875	3.42244497214695e-07	0.000675101716791501
"OGDH"	6.15812863839486	2.92108784701567	4303.996733022	-0.618902069501376	0.137533235350761	6.94818481280828e-07	0.00119925669869071
"BNIP5"	5.76318275321192	2.61001341894404	172.281766167972	-0.617302021257156	0.154315804079728	1.7251118038656e-06	0.00245463307062122
"HEPH"	5.75014419731518	2.61001341894404	1259.25047740757	-0.864907810908433	0.222158784574727	1.77768907200262e-06	0.00245463307062122
"ADCY3"	5.53297268010098	2.43423458688807	2357.34342340316	-0.561191690169877	0.154586806286359	2.9310776229696e-06	0.00367930180163311
"PALM2-AKAP2"	5.27291377026617	2.21196423794266	114.469716995936	1.03522232046291	0.36653999682893	5.3344080033771e-06	0.00613812547588592
"PLOD2"	5.10618995713607	2.08000253107177	1047.58568360351	0.6024012128721	0.209337817267095	7.83087051468716e-06	0.00831758923590772
"CRABP2"	4.93456660535066	1.94056386265776	3738.6712170093	0.465847749207113	0.186056105269979	1.1626082345139e-05	0.0114666389301199
"GPX8"	4.60395113544692	1.66181820115914	56.0457223550727	0.863843082068496	0.696941230390505	2.48913736729917e-05	0.0217862156839198
"PPM1L"	4.59782899687435	1.66181820115914	300.635935505918	0.46456769862921	0.239036167344732	2.52447458678097e-05	0.0217862156839198
"ZC3H12C"	4.49393763704039	1.58425578004753	42.1518328691446	0.755102399553431	0.4500606908922	3.20672976508111e-05	0.0260461909389647
"KALRN"	4.45534152635878	1.57048325309095	1106.95868850194	-0.342454273432127	0.20870731304891	3.50476153384509e-05	0.0268854151440739
"MAGEA3"	4.38666739039899	1.52551564611067	200.266088269028	0.368051379918402	0.23314867455331	4.10518383016216e-05	0.0298184012072384
"MOB1B"	4.36380426173578	1.52551564611067	703.632650839454	0.326336850360615	0.216010326330736	4.32708810688503e-05	0.0298184012072384
"BLMH"	4.34342712974788	1.52551564611067	72.6340500818266	0.635329714125159	0.4114730053714	4.53495383366169e-05	0.0298184012072384
