"gene"	"neg_log10_pval"	"neg_Log10_padj"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"TACSTD2"	35.2789626733016	31.1475044131951	107.540017411552	-2.47010846592434	0.204297587090067	5.26062478412676e-36	7.12025564531556e-32
"MAGEA3"	21.9895850747923	18.1591568103498	200.266088269028	-1.31767147818797	0.140236602601965	1.0242711141922e-22	6.93175476529569e-19
"C1S"	21.5553677023305	17.9010306969437	676.780186452771	-1.50943093894739	0.1640182518585	2.78376325315335e-22	1.25594118771435e-18
"APCDD1L-DT"	18.0028488942653	14.4734506254867	56.674869610672	-2.08673688142216	0.255006955541667	9.93461647192932e-19	3.36162584868908e-15
"ENSG00000112096_SOD2"	16.8043335834346	13.3718453276641	2743.84027201639	-0.458384580738734	0.0567515426646903	1.56915706512518e-17	4.24770817529386e-14
"DMKN"	16.221636197224	12.8683291875011	94.6831838397705	-2.23406713871476	0.291671459478267	6.00293723853431e-17	1.35416259205936e-13
"TBX3"	15.5983752860212	12.312015065929	732.366716442894	1.06656681893087	0.137553572942257	2.52130110398432e-16	4.87511577748969e-13
"PPP1R10"	13.1433521965341	9.91498392341947	1922.709314116	-0.396831942410763	0.0557608378045774	7.18865768382231e-14	1.21623102188169e-10
"TMEM178B"	12.826949691443	9.64973394077581	475.989006459987	0.876284303801161	0.12952165456206	1.48953361489418e-13	2.24009305306586e-10
"SPP1"	12.7022150494321	9.57075678932556	82.9756207944919	-2.58862790609513	0.40153936828627	1.98511170694671e-13	2.68684869535238e-10
"ERMP1"	12.4828785699962	9.39281299504787	4468.56856015655	0.47868077909936	0.0712817540578908	3.28943591606767e-13	4.0475013749069e-10
"PLCE1"	11.8665885912331	8.8143115771742	275.386542802566	1.18676708674237	0.181835984238839	1.3596007915895e-12	1.53351639284699e-09
"MYADM"	11.7777780258354	8.76330057342066	2210.35821599491	1.18348940021643	0.18220215718755	1.66809958442486e-12	1.72464385993946e-09
"CMTM7"	11.7200169226197	8.76330057342066	688.226581961496	0.666028412814277	0.106783000604484	1.90538647166224e-12	1.72464385993946e-09
"LYN"	11.7186675744715	8.76330057342066	320.374736545032	1.10372515189342	0.170220936393676	1.9113156925816e-12	1.72464385993946e-09
"EPHB6"	11.6435942080613	8.71625593061071	183.35717345939	2.20239049763534	0.359973442312238	2.27198673772914e-12	1.92195878094774e-09
"CALD1"	11.1418929741763	8.24088363544806	298.266140126542	-1.92050861696022	0.321608660098061	7.21285207971855e-12	5.74270311170533e-09
"AIM2"	11.0381432161296	8.1619574611264	96.5518831656372	-1.5919542146259	0.263951978068208	9.15918400354141e-12	6.88719752710739e-09
"DPYSL2"	10.8956108276314	8.0429061684777	701.496109483779	1.18154973796759	0.191558099692163	1.27171318012143e-11	9.05928310154926e-09
"ZC3H12C"	10.6711478075856	7.84930756804954	42.1518328691446	-1.94097701431889	0.335661245594941	2.13231907713763e-11	1.41479146748996e-08
"FAM83G"	10.6585465334221	7.84930756804954	2097.35198479055	-0.525250142924262	0.0878655550980485	2.19509573825558e-11	1.41479146748996e-08
"ROR1"	10.6056527439444	7.81661716466011	1047.73037844621	1.39972210115638	0.234811115856359	2.47940376332233e-11	1.52539681529853e-08
"BCAS4"	10.5531596722477	7.80087119238235	140.211351118678	1.31442651892891	0.219632555532227	2.79795243828738e-11	1.58171709197223e-08
"ATP11C"	10.5521182107773	7.80087119238235	72.5290412386888	-1.38135225523119	0.232162394850902	2.80467012983624e-11	1.58171709197223e-08
"KIDINS220"	10.4053168430532	7.67179859161867	1988.98587626018	-0.341763677817616	0.054118118305112	3.93263062523037e-11	2.12912622049972e-08
"SLC4A4"	10.3793414528757	7.66285654074002	625.120261518749	1.75342577779554	0.306838125317838	4.17501987365219e-11	2.17341899961086e-08
"CDX2"	10.01811932749	7.31802483154244	312.767190984775	1.81594231671738	0.327332023877146	9.5913706117899e-11	4.80811856409542e-08
"RAET1L"	9.95335244132714	7.26905221256284	173.184156739793	-1.19545329126641	0.20645620697667	1.11339062126719e-10	5.38205073530408e-08
"TRIM15"	9.82544396215236	7.15638369994479	521.748957366845	-0.844219960372331	0.150420259488632	1.49470689481357e-10	6.97615786941439e-08
"ALDH1A3"	9.71568544627956	7.06134844089269	148.51239069324	1.67160598455558	0.305546492890057	1.92448510322732e-10	8.68263529072724e-08
"CHD1"	9.67412977261155	7.04259040992253	2733.66187992931	-0.661819505819536	0.121195346677337	2.117728237066e-10	9.06587214748486e-08
"DSC2"	9.66889869170915	7.04259040992253	2053.41700411265	-0.476854390282522	0.0835737702924963	2.14339053357603e-10	9.06587214748486e-08
"MMP15"	9.6400783523075	7.02713403207887	5252.20452892208	0.753179115515841	0.137719658167955	2.29045438807376e-10	9.39433337653888e-08
"ATP10D"	9.57945266937421	6.97947332630994	154.962009048192	-0.853517533944555	0.154693554885747	2.63358494347994e-10	1.04839918264709e-07
"AGFG2"	9.55669005137727	6.96929983562102	650.317783079082	0.768724615640516	0.141210593115815	2.77530008273562e-10	1.0732481891379e-07
"GALM"	9.47573576559856	6.90058000625932	1086.02355427877	0.924251963446557	0.167188890700922	3.34398433573829e-10	1.25724522178383e-07
"RIPOR1"	9.43968643254806	6.87642989650853	2179.05533712738	0.443867638445781	0.0778680519271511	3.63340297500963e-10	1.32913808829068e-07
"KCNE3"	9.1628878442698	6.61121318078009	897.412159947195	1.07203907366206	0.196396399799556	6.87245897054973e-10	2.44786137279975e-07
"NR2F1"	9.04242568680041	6.50203203372038	626.854704906939	0.648504290182771	0.124616488216188	9.06931138530662e-10	3.14751614359295e-07
"PPM1L"	8.7656801205592	6.23628185178063	300.635935505918	0.729316161162562	0.143367369527693	1.71522018716213e-09	5.80387630830985e-07
"ZNF503"	8.65659081222081	6.13945857961836	190.03044015753	-0.846689170042104	0.165728425697853	2.20500301573371e-09	7.25339653302661e-07
"SLITRK6"	8.64766754932699	6.13945857961836	1440.06792008369	1.54682980237136	0.30610670543724	2.25077690718225e-09	7.25339653302661e-07
"TTYH3"	8.63069384496372	6.13270404043678	4723.78273785222	0.820638628438262	0.161594750827857	2.34048657862732e-09	7.36708973063275e-07
"EEF1A2"	8.61819667997813	6.13142961149101	3987.05229690689	0.675700303708544	0.134714633424073	2.40881429615624e-09	7.38874006686969e-07
"TNFAIP8L1"	8.60967535782219	6.13142961149101	380.016647656048	0.964411621413809	0.186658230139499	2.45654453645465e-09	7.38874006686969e-07
"RNASET2"	8.50979914366113	6.04109871523618	873.963665989282	0.93585751078828	0.183380525262495	3.09172499012772e-09	9.09706472638668e-07
"ZNF710-AS1"	8.4775137346305	6.01815333245969	134.839238191965	1.487475188316	0.297309186623559	3.33032229946167e-09	9.59061964323695e-07
