"gene"	"neg_log10_pval"	"neg_Log10_padj"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"CDH17"	18.9658155808929	14.8171512409107	114.655114245291	2.11495606025369	0.238435678805143	1.08189326966947e-19	1.52352210234855e-15
"SPP1"	14.3265365501228	10.4789022058046	82.9756207944919	2.26893537034507	0.300828041849639	4.71480190003289e-15	3.31969201781316e-11
"HEPH"	8.22207261338177	4.5505295281192	1259.25047740757	1.0583583953204	0.200836193421128	5.99690800476203e-09	2.8149486174353e-05
"USP12"	7.89416525785455	4.34756090920028	2268.383493635	0.324330597834328	0.0584769633450387	1.27595319036781e-08	4.49199320668987e-05
"CLDN18"	6.92639474101845	3.53512978744245	17.5427195963991	2.60134796965366	0.657209776626618	1.18469146322273e-07	0.00029165552810328
"DMKN"	6.90564287704104	3.53512978744245	94.6831838397705	1.17505679539092	0.257165957819142	1.2426737456467e-07	0.00029165552810328
"PAN3"	6.36806433546993	3.12466466176618	1637.92595743674	0.274699887263218	0.0589884407065346	4.28485040824126e-07	0.00075047345986434
"SPECC1"	6.32886518519057	3.12466466176618	480.705037141775	-0.515259020412804	0.122712514855042	4.6895893499072e-07	0.00075047345986434
"CDX1"	6.31908649230909	3.12466466176618	21.3602519666943	1.83859817602165	0.482358067768967	4.79637916402433e-07	0.00075047345986434
"FABP1"	5.96565258197835	2.81698824199611	19.8517579083632	1.71299551917683	0.52585999919741	1.08229940083946e-06	0.00152409401626213
"ATP11C"	5.6241509708684	2.51687931604438	72.5290412386888	1.10377744442991	0.392591363284979	2.37601418522404e-06	0.00304173015966591
"TMC7"	5.32440596487552	2.25492287094091	393.037088683711	0.503435910123005	0.185798197919389	4.73798885840104e-06	0.00556002992533362
"RDX"	4.89129934663779	1.85657835896239	1482.95137722904	-0.378092215033733	0.17069006333426	1.28440105423252e-05	0.013913027419771
"NAV3"	4.55749722970714	1.55496092540314	45.3530170525206	-0.864620852752336	0.753165867941768	2.77014670941628e-05	0.0278637185442858
"PHGR1"	4.52299131971648	1.55041823878992	99.7433746229676	0.815565967344656	0.725574583315306	2.99922246412222e-05	0.0281567004931794
"PTGS2"	4.46726577271833	1.53100886515361	125.045589315664	-0.377228366544989	0.269622034084629	3.40984177616219e-05	0.0294436153060898
"CALD1"	4.42790353222511	1.53100886515361	298.266140126542	0.681317940295288	0.646120641594901	3.7333307529292e-05	0.0294436153060898
"LIMA1"	4.40884783615367	1.53100886515361	8304.59621377692	0.139843840324555	0.0934847962479166	3.90078634667353e-05	0.0294436153060898
"PLEKHH3"	4.40091960418302	1.53100886515361	1206.51260999526	-0.281182914013412	0.183334430986879	3.97265083664044e-05	0.0294436153060898
"LINC01184"	4.27271340365197	1.44243339851444	1151.60009810142	-0.156462983847732	0.113951909069041	5.33686965995548e-05	0.0361049378280708
"GALNT6"	4.26887844376275	1.44243339851444	173.993816227026	0.33236158911618	0.28684184912883	5.38420461858747e-05	0.0361049378280708
"ARSJ"	4.2174284694871	1.414349064931	2275.37774445441	-0.216874841001295	0.162266792400324	6.06138026325746e-05	0.038516865325733
"MAGEA3"	4.20128556889565	1.414349064931	200.266088269028	0.310062627896613	0.280776708987129	6.290923892145e-05	0.038516865325733
"SH2B3"	4.13407479320465	1.38082293352644	1214.92977628639	-0.424828170538575	0.513134757242381	7.34387382746666e-05	0.0416080216240609
"DPYD"	4.13154726483664	1.38082293352644	716.337961348082	-0.293954292600213	0.286224880254913	7.38673867775545e-05	0.0416080216240609
