"gene"	"neg_log10_pval"	"neg_Log10_padj"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"CDX2"	48.896440295617	44.7756361177762	326.934180171469	2.38055750955127	0.163070818172125	1.26928662689717e-49	1.67634684814309e-45
"RASL11A"	23.0310882817122	19.2113140995354	249.936132456134	2.06552430897713	0.212382974908335	9.30918622675475e-24	6.1473211248375e-20
"CDH3"	21.181104514271	17.5374215911499	643.670078232115	0.797652374858677	0.0854429595920058	6.59015282153445e-22	2.90120494380018e-18
"LYN"	15.7462307588369	12.227486572324	368.458225990083	0.818090901326118	0.1037806212602	1.79378026303638e-16	5.92261398348037e-13
"TMCC3"	14.9671147605363	11.5452805870316	86.8550951143312	1.28158395656239	0.172369033895344	1.07866165264781e-15	2.84917688930392e-12
"HOXB9"	13.5776321203414	10.2349791928842	4725.87259943081	-0.69058615770788	0.0955332250109348	2.64464802193131e-14	5.82131107094114e-11
"RCN1"	12.0007392838288	8.72503314600226	839.040623790347	-0.882906895746577	0.132300412644189	9.98299184105777e-13	1.88350533206929e-09
"STXBP5"	11.7157832279183	8.49806903706944	666.557201934321	-0.550687682467352	0.0844009597478654	1.92405185313502e-12	3.17636910304427e-09
"ANO1"	11.5268144998826	8.36025283148115	1909.646763089	-1.24714835892632	0.197528523638991	2.97293558998454e-12	4.36261781521397e-09
"CTSH"	10.9110779796142	7.85451733466153	3431.41389907436	0.363721109539547	0.0587221065681006	1.22721885846386e-11	1.39792111684034e-08
"SLC7A7"	10.896497290802	7.85451733466153	356.897749286733	0.857440615399588	0.136210133875419	1.2691200613931e-11	1.39792111684034e-08
"MSLN"	10.8961402664547	7.85451733466153	148.383118302337	1.15059052687263	0.187952628648679	1.27016380722981e-11	1.39792111684034e-08
"CPEB2"	10.5564613798328	7.5496005542988	318.982745053743	0.643141177530114	0.10431465356388	2.77676176205786e-11	2.82097635319217e-08
"MYO1B"	10.4450049375321	7.47910101086827	898.889663281068	-0.720637382076092	0.117121150858199	3.58917854053238e-11	3.31817272485077e-08
"SPECC1"	10.4238139296534	7.47910101086827	357.112764598347	-0.710391998493011	0.115644819939674	3.76865229596135e-11	3.31817272485077e-08
"TNS1"	10.339251263072	7.42256706788715	243.722889866873	0.875154267711162	0.143984996022142	4.57876903277748e-11	3.77948766349326e-08
"CHD1"	10.1158783806553	7.22552312419281	1978.48660236443	-1.34784275343902	0.233632533770127	7.65811033757806e-11	5.94945077814079e-08
"NCR3LG1"	9.98429406845997	7.11876239572248	910.337134627891	0.714493917838977	0.119590201334092	1.0368261248066e-10	7.60742368351156e-08
"LRATD1"	9.69319690595875	6.85114632907078	295.720890050196	1.24791371165953	0.221957367985541	2.02676359130574e-10	1.40881403949341e-07
"CBX5"	9.64873860472489	6.82896442254808	3019.25957095694	0.403977280030055	0.0707310363593895	2.24523288887087e-10	1.48263953816588e-07
"HEPH"	9.56079970626625	6.76221482315938	1277.73509170818	1.46686656559865	0.264520573611218	2.74916175593757e-10	1.72896091955559e-07
"GCNT1"	9.50097724747839	6.72259575045979	117.1610622809	1.20357001662833	0.216459780630884	3.15516991718859e-10	1.89410586801408e-07
"SNHG3"	9.27394866175241	6.5148723199292	411.894809053586	-1.4624407479292	0.26951572460027	5.32171163865799e-10	3.05581937442418e-07
"AC008875.3"	9.15453914775463	6.41394621162544	795.736999118453	-0.555214806140278	0.0999519455927607	7.00585028558607e-10	3.8552610300723e-07
"HOXB7"	8.95011450509342	6.23231898898308	873.44904859206	-0.424902201289608	0.0784228883480173	1.12172266446852e-09	5.85707804524709e-07
"UGT2B7"	8.93814981885306	6.23231898898308	75.4608043744077	1.09572032504348	0.203681542911882	1.15305541891742e-09	5.85707804524709e-07
"HNF4A"	8.91146720739467	6.22202679371286	2084.16680822964	0.370544051177837	0.0689718808213604	1.22611948072331e-09	5.99754073404177e-07
"LIMS2"	8.87046762883228	6.1968214823337	1130.67596034173	0.62230005345852	0.113588901514477	1.34751116153689e-09	6.35592139657775e-07
