"gene"	"neg_log10_pval"	"neg_Log10_padj"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"CDX2"	109.489389777296	105.368585599455	326.934180171469	3.52486864552406	0.159293342704625	3.24048654625882e-110	4.27971058164402e-106
"RASL11A"	38.5906956874102	34.7709215052334	249.936132456134	2.36721032941875	0.182890276077434	2.56628161464044e-39	1.69464406422781e-35
"CXCL10"	29.840368230334	26.1966853072128	1414.16373218241	-2.24880747620958	0.199442397821727	1.44421472826693e-30	6.35791463874047e-27
"HOXB9"	22.3401258931716	18.8213817066588	4725.87259943081	-0.903241564201482	0.0940269754711951	4.56955708211918e-23	1.5087535095887e-19
"CDH3"	21.8684607268923	18.4466265533875	643.670078232115	0.854279131239429	0.0896195793192367	1.35375250453197e-22	3.57580186547074e-19
"NCR3LG1"	19.9080528688147	16.5653999413575	910.337134627891	1.05012093121085	0.118825517964	1.23579698460983e-20	2.72019512929034e-17
"HEPH"	16.4429786935562	13.2141563479096	1277.73509170818	2.07333587043506	0.259448685720203	3.60596333407735e-17	6.10722122694491e-14
"ANO1"	16.4318705387585	13.2141563479096	1909.646763089	-1.55990120154097	0.206945810399851	3.69938440338906e-17	6.10722122694491e-14
"LYN"	16.1397264717265	12.973164803325	368.458225990083	0.789129692918417	0.0975118559776575	7.24892369584239e-17	1.06373928056656e-13
"HLA-B"	15.9583085347774	12.8375043569366	638.915214756404	-1.21187213690026	0.161394514483422	1.10075702354813e-16	1.45376980100001e-13
"LRATD1"	15.8857805418247	12.8063690491421	295.720890050196	1.57943012356513	0.213814520189832	1.3008267472113e-16	1.56181989549269e-13
"AC005515.1"	15.0918181192935	12.0501951875003	1483.7977776755	-0.885025248269935	0.114762954106458	8.0943481610909e-16	8.90850468029396e-13
"CTSH"	14.773784883674	11.76692405814	3431.41389907436	0.450448396710913	0.059954612478001	1.68350773577295e-15	1.71031435895026e-12
"FGFR3"	14.3063857446181	11.3317096024556	1649.26605937022	0.648708485697815	0.0851447324888581	4.93871830314017e-15	4.65897518782659e-12
"FOXA3"	14.0089970143065	11.0715408321235	305.182374113259	0.906329245863965	0.123127262624061	9.79496719242657e-15	8.48123638595148e-12
"SPECC1"	13.9882250273084	11.0715408321235	357.112764598347	-0.816111457161626	0.109669257574325	1.02748377508309e-14	8.48123638595148e-12
"SNHG3"	13.2485734147933	10.3582181583307	411.894809053586	-1.86868981648083	0.274665292849339	5.64191560193449e-14	4.3831046679264e-11
"AC008875.3"	13.2036723105387	10.3381406378012	795.736999118453	-0.540036564655224	0.0746967653236017	6.25644584127425e-14	4.59049334587272e-11
"MTAP"	12.8374959750204	9.99544539813243	6683.2380447291	-0.564094955448894	0.0790582161168477	1.45379785913738e-13	1.01054254345407e-10
"SLC35D1"	12.4326531836629	9.61287900148611	455.853149767949	0.669179969984909	0.0952327490701129	3.69272372217729e-13	2.43849010993977e-10
"CBX5"	12.1611369728699	9.36255208976299	3019.25957095694	0.473331163294294	0.0704398282541885	6.90022142269312e-13	4.33958211092895e-10
"HOXB7"	12.1176797291695	9.33929823215093	873.44904859206	-0.521194730068216	0.0762924251754557	7.62641213104569e-13	4.57827386430547e-10
"AFAP1-AS1"	12.0673234682899	9.30824712646668	3247.06523560874	-0.435636730731528	0.0666459768876309	8.56399749737405e-13	4.91759630207909e-10
"CPEB2"	11.9221868161464	9.18159388001719	318.982745053743	0.662719481197801	0.096635235343016	1.19622585201718e-12	6.58273117816286e-10
"DDC"	11.4907164498571	8.76785228068838	1216.89546360729	0.619467474160425	0.0923523256558709	3.23060268840473e-12	1.70666278823045e-09
"EPHB2"	11.1727727258145	8.46694189594455	80.1720057830058	2.10981709649533	0.338402744585714	6.71780315787555e-12	3.41238562715625e-09
"APLP2"	10.7853518235942	8.09591140991239	12322.7784960274	0.264592727055424	0.045527692798794	1.63926126343815e-11	8.01841611341765e-09
"RPL4"	10.5496015597102	7.87595541321163	58745.9992066605	-0.336879594131032	0.0603261693473002	2.82096982251158e-11	1.33059101592537e-08
"SLC7A7"	10.5121476597827	7.85374147984086	356.897749286733	0.868411017044495	0.139441048492609	3.07505112201743e-11	1.40042069546497e-08
"STXBP5"	10.4659353000123	7.8222523768912	666.557201934321	-0.520955600458322	0.0838019532212476	3.42030393457952e-11	1.50573180213306e-08
"C6orf62"	10.3964838085586	7.76704132455209	5091.8729019748	-0.540311194701274	0.0867449810625984	4.0134346093959e-11	1.70985260923521e-08
"EPCAM"	10.1863521292978	7.57069792977691	26749.4291225918	0.209401135316707	0.0352584610467988	6.51100262895026e-11	2.68721286626707e-08
"VIL1"	9.95653502185276	7.35424478388985	4119.23951199335	0.515576723779191	0.0859667471343154	1.10526133663494e-10	4.42338984028415e-08
"COMMD7"	9.92270610173913	7.33338084094058	503.430076748034	0.791534104890025	0.13012542424025	1.19479638042468e-10	4.64108111654964e-08
"CDH17"	9.5283803966533	6.95164426316277	167.453001758296	2.62089433384192	0.459878989950765	2.96223564353512e-10	1.11777846126195e-07
"PDGFA"	9.50702708887422	6.94252541180071	230.403482510507	-0.983564954117724	0.173439472352258	3.11152225160143e-10	1.14149651046945e-07
"MSLN"	9.47478327768781	6.92354075952498	148.383118302337	1.15834446845475	0.216626712340214	3.3513263584953e-10	1.19250234154648e-07
"SERPINB6"	9.46456134074897	6.92354075952498	2230.93793474914	0.353326556941657	0.0681895362314472	3.4311417414073e-10	1.19250234154648e-07
"CDKN2A"	9.38127675586532	6.85153718505102	4227.39973816793	-0.762774642621303	0.129448286469447	4.1564565425417e-10	1.40754670659867e-07
"NUP62"	9.12366273797749	6.60491855146466	3753.9212604746	-0.281831559057175	0.055591086687499	7.52206811893944e-10	2.48359884117083e-07
"BIRC3"	9.02713853022718	6.51911820910611	1089.28406489577	-0.99545597363932	0.182614217625953	9.39423607646321e-10	3.02608965516707e-07
"GOLT1A"	8.85584999424254	6.36669301495112	184.466288126025	0.816236896828954	0.144856912193782	1.39363808384011e-09	4.29840155872938e-07
"GPC4"	8.85402873721234	6.36669301495112	174.289027832271	-1.14433022653481	0.224060105769816	1.39949471511595e-09	4.29840155872938e-07
"TIGD6"	8.7399480131224	6.26259651176779	111.60364504217	0.859259580966803	0.155133323069281	1.81991869750046e-09	5.46265141770195e-07
"ZFYVE9"	8.49331348309385	6.0257218190284	528.787201833036	0.489852606579634	0.0930144509628429	3.21134168637304e-09	9.42493103376194e-07
"TNS1"	8.1578784406013	5.69983209444208	243.722889866873	0.79993368794714	0.149668170396985	6.95218882720768e-09	1.99603386610721e-06
"CCDC183-AS1"	8.09200828984946	5.64330196994438	136.302263263628	0.961477410287398	0.18867442704659	8.09080455235462e-09	2.27351607921165e-06
"GPA33"	8.05863573321639	5.61907279275118	94.6330314157874	1.24962294430477	0.271794379591855	8.73703884878342e-09	2.40395983491422e-06
"LRRC75A"	8.04832997163845	5.61772187382617	135.459504155315	0.914326228295172	0.177405319230474	8.94684736717348e-09	2.41144924853592e-06
"LRRC8C"	8.01417397077891	5.59233979727413	429.029687416055	0.519934404129547	0.101518467757871	9.67890058753102e-09	2.55658480119044e-06
"PIK3R1"	7.99549479543069	5.58901195708888	3827.83278550721	0.32385565423524	0.0719371542510394	1.01042760938346e-08	2.57625022615204e-06
"SCOC"	7.99381279129488	5.58901195708888	1675.63284027394	0.274376509541975	0.059576612205939	1.01434854062168e-08	2.57625022615204e-06
"CHD1"	7.98149002770176	5.58496171946175	1978.48660236443	-1.11715302456104	0.23489305272149	1.04354209433521e-08	2.60038876224247e-06
"GOLM1"	7.96645119590312	5.57804077788529	7028.6053837315	0.163499160649663	0.0306389635142382	1.0803110146442e-08	2.64216066118628e-06
"EREG"	7.83663231968946	5.45619083134291	7508.33969031395	-0.497381327520428	0.100233804551565	1.45669181611822e-08	3.49791433008605e-06
"ARID3A"	7.73507083048856	5.36245467965396	269.09861165441	0.781018237741531	0.151341279273031	1.84047180850331e-08	4.340555566947e-06
"CCNYL1"	7.66860396668488	5.30367464451658	739.366828808589	0.486021836336343	0.100501870512795	2.14484559517737e-08	4.96964487289606e-06
"NSMAF"	7.6433963740792	5.28602018980134	923.745531590671	-0.445326599518873	0.095296835316063	2.2730219306518e-08	5.1758276962273e-06
"MYO1B"	7.62848281437094	5.27853064817228	898.889663281068	-0.593449875820809	0.11698894813595	2.35243258053495e-08	5.2658605239195e-06
"TFAP2A"	7.57267007648742	5.23001714903027	334.373267665089	-0.595064673540468	0.117939350692355	2.67503780155447e-08	5.88820404085497e-06
"AOC1"	7.43814223661791	5.10266789378788	392.795964273417	0.906364367152257	0.186238276272918	3.64634505221914e-08	7.89463591879641e-06
"FAM217B"	7.41684829588327	5.08843580754073	965.562698211687	-0.373269392284594	0.086720717929837	3.82958491813463e-08	8.15763355061356e-06
"MRAP2"	7.33185504495978	5.01039141657256	509.046641331812	-0.562421061054782	0.115731028231368	4.65741518742328e-08	9.76356863179353e-06
"MAP3K7"	7.21297125873902	4.89834705488211	1529.70497624549	-0.535759367929403	0.113204001568693	6.12390917924234e-08	1.26372607078521e-05
"LRRC61"	7.1597724571297	4.85188163593175	228.546030969745	-0.80198667424308	0.165404913281726	6.92193541612408e-08	1.40643078524232e-05
"HIP1"	7.13224186140915	4.83098161911022	108.09756823175	1.01840208772536	0.226235770713199	7.37493400892559e-08	1.47576899175576e-05
"UBQLN2"	7.08864223375262	4.79391285861265	1539.22548206657	-0.292543201084821	0.071145670766565	8.15375703520047e-08	1.60726371886407e-05
"TMPRSS2"	7.02511466017812	4.73681939504356	403.059356015169	0.647696603469563	0.134997709612338	9.4381166312596e-08	1.83307656395655e-05
"UBE2J1"	7.00760117283207	4.72564608572853	2561.8008523004	0.257562775998229	0.0610022748052913	9.82649929134968e-08	1.88084892957761e-05
"OTULINL"	6.9844040427426	4.70869790491605	511.795043552303	0.736794888603769	0.153822052966337	1.03656360760145e-07	1.9556993665132e-05
"CPEB4"	6.95323419503838	4.68368836591666	382.285442817532	0.493471935904361	0.110603224108518	1.11369380778905e-07	2.07162734077041e-05
"FAM131B"	6.84581282402432	4.5823411426148	83.2304638150652	1.00339087939789	0.229931939554386	1.42622214666247e-07	2.61612720707933e-05
"AFAP1"	6.82474014999684	4.5672588322765	411.183054833718	-0.539671544619587	0.119555595066243	1.49713116177812e-07	2.70857688405529e-05
"LRRC66"	6.77466555726961	4.52361725319627	240.144760482094	0.842736220465278	0.183739364269598	1.68009733421415e-07	2.9949029030223e-05
"MYO7B"	6.76936016764537	4.52361725319627	39.1147843563298	1.4716417521981	0.388739180519999	1.70074746518265e-07	2.9949029030223e-05
"NFKB1"	6.75884483617864	4.51885425061863	2009.23366639559	-0.370600995071471	0.093579544624242	1.742429293679e-07	3.02792943179191e-05
"LGR5"	6.73728436864289	4.50511420463815	215.407335461745	1.51328282858759	0.402406913724679	1.83111504674864e-07	3.12525742293435e-05
"DNAJA4"	6.73382377978847	4.50511420463815	1238.07934118669	0.432204031932552	0.104691612492512	1.84576420829014e-07	3.12525742293435e-05
