"gene"	"neg_log10_pval"	"neg_Log10_padj"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"CDX2"	46.869851962281	42.7575821938637	326.934180171469	2.31264415197161	0.16225958224668	1.34942278119914e-47	1.74750250165289e-43
"CDH3"	21.3915578470323	17.580318074279	643.670078232115	0.797600454785446	0.0847897234157043	4.05921591822358e-22	2.62834230704977e-18
"RASL11A"	20.2351985945406	16.600050080843	249.936132456134	1.91196069586016	0.212538144119565	5.81837093980342e-21	2.51159678901514e-17
"STXBP5"	16.8756379892585	13.3654282121692	666.557201934321	-0.675795705495776	0.0822413293698443	1.33156389462077e-17	4.31093810883473e-14
"CPEB2"	13.6449449891756	10.2316452250943	318.982745053743	0.734500970254611	0.100939305232152	2.26493118169795e-14	5.8661717605977e-11
"HOXB9"	13.3770414266402	10.0429229086066	4725.87259943081	-0.684898970604654	0.095396449765793	4.19718945777806e-14	9.05893391303765e-11
"TMCC3"	11.8994300102789	8.63225828187585	86.8550951143312	1.11327984504967	0.17051505211101	1.26057877298269e-12	2.33207073001797e-09
"SLC7A7"	11.8261570764671	8.61697729504176	356.897749286733	0.89500598702877	0.134526865143059	1.49225459044079e-12	2.41558711827604e-09
"SPP1"	11.4896543961598	8.33162713718184	331.853064508829	-2.04570466776214	0.322278574704859	3.2385126950637e-12	4.65985993345276e-09
"MSLN"	11.0714115630448	7.95914179462757	148.383118302337	1.15079627366034	0.185384632566208	8.48376122760374e-12	1.09864707897468e-08
"DDC"	10.5956932276447	7.52481614438563	1216.89546360729	0.582408559495856	0.0942068750421763	2.53692000053025e-11	2.98664672789698e-08
"AC008875.3"	10.1807262208909	7.14763769852126	795.736999118453	-0.583874617024727	0.0968879464932691	6.59589569273702e-11	7.11807076841203e-08
"RCN1"	9.9020933453651	6.90376692925467	839.040623790347	-0.783824295194707	0.13112074360355	1.25287185917704e-10	1.24805312125713e-07
"LYN"	9.85793221234739	6.89179047960835	368.458225990083	0.627039946414667	0.105887829412936	1.38697230009856e-10	1.28294937759117e-07
"EPCAM"	9.81803622701766	6.88185771765607	26749.4291225918	0.205408620977265	0.0368457961272603	1.5204206973478e-10	1.31262986871026e-07
"APLP2"	9.53756522440192	6.62941543864058	12322.7784960274	0.247247109028488	0.0464289459516748	2.90024559336583e-10	2.34738627713047e-07
"ANO1"	9.25811378510594	6.37629293806694	1909.646763089	-1.08374937543845	0.194985971836433	5.51932813999824e-10	4.20442937723396e-07
"FAR2"	9.21580471141536	6.3588074481014	1747.47025978747	0.371373762824965	0.0678900063455891	6.08408521975735e-10	4.37716131088098e-07
"CHD1"	9.08316727152777	6.24965110406333	1978.48660236443	-1.24734151418558	0.23210329879469	8.25719856601286e-10	5.62793270683508e-07
"HOXB7"	9.05920744040517	6.24796766765188	873.44904859206	-0.425603354587614	0.0776488157483648	8.72554493893594e-10	5.64979034796102e-07
"SERPINB6"	9.01490059430661	6.22485012062326	2230.93793474914	0.339718727769551	0.0640619138151611	9.6627202374891e-10	5.95867747978494e-07
"CTSH"	8.90927139392854	6.13942430633348	3431.41389907436	0.318904873065796	0.0613869271263302	1.23233449734898e-09	7.2539689730315e-07
"TMPRSS2"	8.8880729895746	6.13753105717492	403.059356015169	0.714188963115594	0.128466768820032	1.29397835108259e-09	7.28566071587806e-07
"TNS1"	8.83631581452662	6.11128053039179	243.722889866873	0.795926037437022	0.143574689010003	1.45775381101503e-09	7.73961699535826e-07
"HEPH"	8.82561029013703	6.11128053039179	1277.73509170818	1.37863124950259	0.264338833545235	1.49413455508847e-09	7.73961699535826e-07
"EPHB2"	8.76357714227924	6.06628072183279	80.1720057830058	1.66813937203881	0.321740479303374	1.7235459161271e-09	8.58458446686381e-07
"NCR3LG1"	8.39606649544896	5.71516049119068	910.337134627891	0.643980212162207	0.12105436060917	4.01729296792894e-09	1.92681273832147e-06
"FGFR3"	8.28710481946645	5.6219930823914	1649.26605937022	0.449198904268811	0.0872231653738938	5.16291744256735e-09	2.3878493171874e-06
"SPECC1"	8.10821814896422	5.4583463784459	357.112764598347	-0.599030823194489	0.115979163069581	7.79438495112197e-09	3.48059603851826e-06
"AFAP1-AS1"	8.09209498871176	5.45694647501415	3247.06523560874	-0.33857000689454	0.0695535298691247	8.0891895340513e-09	3.49183348219881e-06
"DCP1A"	7.93618660917199	5.31527853458899	1366.66072918445	-0.298454546431435	0.0636693954707614	1.15827955560376e-08	4.83861943389311e-06
"ARSJ"	7.9141052477255	5.30698545762814	1924.52883899206	-0.343629737731714	0.0717008567959775	1.21869422253035e-08	4.93190318180253e-06
"SNHG3"	7.86828256222008	5.2745267336807	411.894809053586	-1.29320289659115	0.269082135018382	1.3543079809679e-08	5.31463283440433e-06
"MTAP"	7.7390730295576	5.17066965810393	6683.2380447291	-0.411618737950731	0.0851249489368155	1.8235890276937e-08	6.75041296098028e-06
"HNF4A"	7.73124761347197	5.17066965810393	2084.16680822964	0.335881304256124	0.0717565478058884	1.85674552776074e-08	6.75041296098028e-06
"MYO1B"	7.72663692575392	5.17066965810393	898.889663281068	-0.595884987966725	0.119653759941051	1.87656267641151e-08	6.75041296098028e-06
"GYG1"	7.68391922011932	5.13985117576905	2215.85844879417	0.383233116174461	0.0804935419745654	2.07052643617135e-08	7.24684252659971e-06
"LRATD1"	7.56942205218417	5.03693588038371	295.720890050196	1.05853093204928	0.219938537883214	2.69511901288921e-08	9.18468189918823e-06
"CCDC170"	7.53239378051102	5.01118861912025	31.4136005871703	2.05894556998997	0.464240234843358	2.93498725363546e-08	9.74566280373826e-06
"OTULINL"	7.49957905290713	4.98936927581783	511.795043552303	0.704678047719279	0.143338046558663	3.16534423589564e-08	1.02478019637121e-05
"CBX5"	7.45714123674827	4.95765532505073	3019.25957095694	0.340349258730189	0.0748027037051257	3.4902679014614e-08	1.10241388594939e-05
"GPA33"	7.30845807990953	4.82837817145949	94.6330314157874	1.15571285310703	0.251233846112208	4.91520821748215e-08	1.48464229437487e-05
"TNFRSF1B"	7.30717948429717	4.82837817145949	412.952062697269	1.71373066333823	0.388023911902677	4.92970028248027e-08	1.48464229437487e-05
"DBN1"	7.19993789284107	4.73112080090998	662.018774206353	-0.822375655022942	0.172703269332906	6.31047582260883e-08	1.85728777051783e-05
"GBP2"	6.97137789063056	4.51232063598864	3977.19097424843	0.818084359467567	0.176514875613397	1.06812507207322e-07	3.07382659629961e-05
"NSMAF"	6.96128663291171	4.51177469617601	923.745531590671	-0.408682939030569	0.0927654100183532	1.09323459692249e-07	3.07769305003178e-05
"HIP1"	6.93406236951547	4.49389045903391	108.09756823175	0.916077530815389	0.200443780697594	1.16395885997556e-07	3.20707813546459e-05
"VIL1"	6.78092841837105	4.34989988732937	4119.23951199335	0.390139985233826	0.0913510801912675	1.65604289458941e-07	4.46786572602768e-05
"CFH"	6.60373867121925	4.18166498283049	1850.71040715421	0.78500472468245	0.177712746071946	2.49035539343878e-07	6.5816535398025e-05
"TM2D3"	6.51155508940013	4.09825532531887	1099.8004348675	-0.304313013892336	0.0769700751383591	3.07924971996261e-07	7.97525677470317e-05
"TIGD6"	6.43506170309	4.03036211077066	111.60364504217	0.666312349087016	0.155295421620899	3.67230121978763e-07	9.32476486200977e-05
"SH3PXD2B"	6.37149228220192	3.98070386857248	62.5331634918203	0.831839790719563	0.19571332972961	4.25116261430454e-07	0.00010454328232326
