"gene"	"neg_log10_pval"	"neg_Log10_padj"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"LYN"	10.9737501736744	6.85294599583358	368.458225990083	0.689344100332101	0.10257503950987	1.06230646941314e-11	1.40298815415394e-07
"BAMBI"	5.78565764073375	2.13808032510789	110.141816480652	0.886214102544879	0.35978078660518	1.63810735117893e-06	0.00727645210182214
"MAP3K7"	5.71352547407332	2.13808032510789	1529.70497624549	-0.444033093348524	0.178256517510329	1.93408040944319e-06	0.00727645210182214
"CFH"	5.65682451162073	2.13808032510789	1850.71040715421	-0.713785520363209	0.2972874585792	2.2038167946762e-06	0.00727645210182214
"GCNT1"	5.16907351535179	1.82083872040784	117.1610622809	0.640640518672664	0.418939252308003	6.77526809313252e-06	0.0151064104164626
"RNU6-1"	5.16349164786499	1.82083872040784	40.4113580185941	0.689703579918064	0.66928323015792	6.8629107669248e-06	0.0151064104164626
"KRT6A"	5.08812739955767	1.81242126173113	36.7259794651358	0.00998117477407159	0.124196591564747	8.16342863421233e-06	0.0154020574245775
"KIAA1549L"	4.99372277130012	1.77600858045127	180.47624526836	0.458342342002947	0.337493664175906	1.01455881525847e-05	0.0167490978413983
"GOLM1"	4.67931676750463	1.51275509910315	7028.6053837315	-0.0401325770099783	0.0670214451998095	2.09258560035036e-05	0.0307075311375858
"CTSE"	4.27745532130628	1.15665114346548	1328.06865986093	0.201331157759746	0.301507045905735	5.27891511616184e-05	0.0697186319391494
"CLCN4"	3.97659065362214	0.934511207201233	74.4466872231035	0.150112386899453	0.305228287630329	0.000105538118240367	0.116275654506206
"CMBL"	3.97613413899441	0.934511207201233	3177.57345184791	0.0313111374822794	0.0840237587749957	0.000105649114414665	0.116275654506206
"GGH"	3.87688805161829	0.870027226084333	214.012269975339	0.0787613689085008	0.184113404648826	0.00013277366651986	0.134887831825215
"CDX2"	3.60309388906924	0.628417746906683	326.934180171469	0.0677616415302691	0.199938592056117	0.000249405548485855	0.235278505632334
"CDH3"	3.26291609712606	0.350420018908033	643.670078232115	0.0120769730986849	0.0603774393247952	0.00054586330815183	0.446251800204673
"SPP1"	3.25701570902968	0.350420018908033	331.853064508829	0.044739365241687	0.207709274042767	0.000553330094141993	0.446251800204673
"RASL11A"	3.24077527537056	0.350420018908033	249.936132456134	0.0404468221390882	0.171669662522136	0.000574413614256034	0.446251800204673
"SCN9A"	3.18612735354297	0.320595680805477	40.6917839229046	0.029910812011453	0.187592713660931	0.000651437337020862	0.477974050557474
"RASGEF1B"	3.02753095514506	0.185480378257095	93.440237256909	0.0277597147901926	0.146090377272917	0.000938575135603528	0.652408516627147
"DDX60"	2.99520680009136	0.179567101444452	1071.92809145473	-0.0238266504536622	0.128128549784409	0.0010110978802737	0.661352346164408
"MAGEA3"	2.97815198455133	0.179567101444452	137.893175632288	0.0238992206876305	0.13088520973435	0.00105159379643012	0.661352346164408
"MAGEA6"	2.93772954299781	0.167659322527026	100.905432723388	0.0205371278043445	0.116830940502674	0.00115417179485042	0.6797366353745
"FGF19"	2.92673566435023	0.167659322527026	61.0575685498147	-0.0241053670200359	0.144050956549657	0.0011837618394498	0.6797366353745
"LRATD1"	2.90474200463704	0.164149068507847	295.720890050196	0.019782485505842	0.116176075121063	0.00124525414312797	0.685252977845463
"DDC"	2.87486198548486	0.151997816316098	1216.89546360729	0.00579983185454387	0.0418953671246732	0.00133394527950322	0.704696612255959
"EPCAM"	2.81280733710897	0.106976507238996	26749.4291225918	0.00139369214626359	0.00992604232757314	0.00153883715199653	0.781670087169932
"CXCL11"	2.62043763299529	2.37996931999103e-05	7104.59659694962	0.00612088878477306	0.0878486789159178	0.00239641686328398	0.999945200682757
"TMCC3"	2.61895059736473	2.37996931999103e-05	86.8550951143312	0.00871306876286413	0.0689636855820255	0.0024046363209003	0.999945200682757
"PDE9A"	2.58971987668092	2.37996931999103e-05	52.1064975361321	-0.0097069089351243	0.0776109631860515	0.00257205424284544	0.999945200682757
"HSD17B2"	2.55879929680505	2.37996931999103e-05	726.397565926788	0.00586906300033837	0.0512788141327902	0.00276185391397223	0.999945200682757
"JAK2"	2.55737559321419	2.37996931999103e-05	1163.02000484838	0.00366764659695078	0.0346226325733819	0.00277092267626708	0.999945200682757
"SH3PXD2B"	2.54756365785804	2.37996931999103e-05	62.5331634918203	0.0082598957396548	0.0692796887250248	0.00283423816711389	0.999945200682757
"PLCXD2"	2.52156484576383	2.37996931999103e-05	209.99159385389	0.00432206193373506	0.0406241065748757	0.00300908983943107	0.999945200682757
"ALG5"	2.50626245252729	2.37996931999103e-05	1217.87721602536	0.00172026237480029	0.0180647641462941	0.0031170053483929	0.999945200682757
"KCNQ4"	2.49511838140629	2.37996931999103e-05	85.1340307545006	-0.00671674703471605	0.0599815842181954	0.00319802326326026	0.999945200682757
"SPATA3-AS1"	2.49025103430993	2.37996931999103e-05	16.0903509088162	0.0104530245312891	0.100530634232721	0.00323406664829169	0.999945200682757
"MPC2"	2.4736941697697	2.37996931999103e-05	1652.16410427222	0.00159039153017603	0.0170857206010358	0.00335974123979625	0.999945200682757
"SMYD2"	2.44638299360672	2.37996931999103e-05	1329.20187776159	0.00149222628199591	0.016323935441228	0.00357780779880453	0.999945200682757
"HAUS6"	2.43853542640282	2.37996931999103e-05	2378.13125825413	-0.00114161300337333	0.0118795476689094	0.00364304531695301	0.999945200682757
"AMOT"	2.356896986812	2.37996931999103e-05	74.0621919515758	0.00682278512369026	0.0676374805888013	0.00439645885594	0.999945200682757
