"gene"	"neg_log10_pval"	"neg_Log10_padj"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"CXCL10"	37.0307538890637	32.9099497112229	1414.16373218241	-2.51194201198119	0.200015556222936	9.31635675804234e-38	1.23041123703465e-33
"LYN"	11.1228543619393	7.30308017976249	368.458225990083	0.676103369336874	0.0992431186810558	7.53608239386894e-12	4.97645200879136e-08
"RASL11A"	9.13584576385089	5.49216284072976	249.936132456134	1.12831721928879	0.186772929345126	7.31398787688975e-10	3.21986126300276e-06
"MAP3K7"	8.9026733830223	5.38392919650947	1529.70497624549	-0.640765640790094	0.106269895660645	1.25119965791631e-09	4.13114847052516e-06
"RNU6-1"	8.76563318162488	5.3437990081201	40.4113580185941	1.98621026860893	0.355080123859878	1.71540557970577e-09	4.53107229823481e-06
"GGH"	7.63835506663087	4.33886652221153	214.012269975339	0.724140641536145	0.13314549621399	2.29956099397658e-08	4.58282715499304e-05
"NFKBIA"	7.61457266003807	4.33886652221153	465.09477131795	-0.61207586056921	0.112767761343619	2.4289990221058e-08	4.58282715499304e-05
"CDX2"	6.89668885817276	3.67897466732391	326.934180171469	0.893928964132433	0.184318849524996	1.26856037576328e-07	0.000209423461033821
"TNFAIP3"	5.71848680859296	2.55192514019149	54.8785848095706	-1.23770090044331	0.435284456415804	1.91211140283901e-06	0.00280591725525498
"CXCL1"	5.09708591888883	1.97628174104803	66.223192300668	-1.15150693912809	0.709496911998224	7.99676035006463e-06	0.0105613213943304
"CXCL8"	4.66479527291168	1.59098974350186	96.0627018399104	-0.775747122988504	0.665580495455192	2.16373827291014e-05	0.0256454460126685
"GCNT1"	4.63261267529503	1.59098974350186	117.1610622809	0.534267336271936	0.459117026835116	2.3301684875598e-05	0.0256454460126685
"RELB"	4.49035249605935	1.50746795958082	245.048750800652	-0.555257622106974	0.544809923498468	3.23331117994824e-05	0.0310836521638486
"CMPK2"	4.48214410174337	1.50746795958082	324.673541350463	-0.234022409328608	0.267395965204028	3.29500363666147e-05	0.0310836521638486
"KIAA1549L"	4.25819714919168	1.31348423040656	180.47624526836	0.278523576923459	0.360396372866549	5.51826879062541e-05	0.0485865172785265
"FOXA3"	4.08688290694396	1.17019871175908	305.182374113259	0.133367401312207	0.228871529368137	8.18685489681851e-05	0.0675773703889263
"CTSE"	3.83527031829217	0.944915061829651	1328.06865986093	0.123785807939855	0.254818510898829	0.000146126735342576	0.113523281980553
"BIRC3"	3.78549600400986	0.91996433127237	1089.28406489577	-0.13083958433673	0.275549689384882	0.000163871713922754	0.120236318098767
"PDZK1IP1"	3.60624118812112	0.764190611233151	184.432724997182	-0.0893483744551238	0.228742552145988	0.000247604658797533	0.17211130151258
"C1RL"	3.51076210952025	0.690987927343433	272.621668183451	-0.0342412047926092	0.114758053549113	0.000308487726938497	0.203709870483837
"CNTNAP2"	3.45908498802117	0.676439633370697	39.3582606132551	0.126342085682813	0.346135999111798	0.000347468157998436	0.210649467993014
"MAGEA6"	3.45482113038929	0.676439633370697	100.905432723388	0.0849240765760964	0.243244968780783	0.000350896365249209	0.210649467993014
"LRATD1"	3.37990479648655	0.620828454663342	295.720890050196	0.0699083017490634	0.218009410281307	0.000416960777171967	0.23942612974392
"DDC"	3.33515564194893	0.59456270581974	1216.89546360729	0.017849360139455	0.0767415809139944	0.000462215343518621	0.254353251743768
"IL32"	3.04272605133211	0.31986188216335	203.390982497525	-0.056151140242603	0.232576895603314	0.000906304108304901	0.478782334335313
"ZNF3"	3.018249148981	0.312418319111017	718.000955003675	-0.00815374797186571	0.0496389421780426	0.00095885039395237	0.487059121266498
"MX1"	2.97540419358242	0.29051790414508	359.399272234518	-0.0208681334528544	0.106245075761248	0.00105826834681536	0.512250151897921
"HLA-B"	2.96416405064366	0.29051790414508	638.915214756404	-0.018981137440762	0.0992295879604714	0.00108601531408661	0.512250151897921
"CADPS2"	2.88443375370119	0.226027573759345	88.8399736100703	0.015674087679931	0.089336212779671	0.00130486699492256	0.594254427653179
"PARM1"	2.85332698298814	0.209644059867006	32.7754126697634	0.0493047022717231	0.257093847534392	0.00140175791499577	0.617100559444969
"SH3PXD2B"	2.73624684725319	0.110289124735416	62.5331634918203	0.0238750276234756	0.137600272843987	0.00183549477578941	0.775730514272422
"HIST1H2BJ"	2.72514150667084	0.110289124735416	22.4603929844241	0.0330533463889368	0.186419623349223	0.00188303543791804	0.775730514272422
"MARCKS"	2.71119825594215	0.110289124735416	3706.31409348881	-0.00162503936465148	0.0144272857182696	0.00194447222512491	0.775730514272422
"TNFAIP2"	2.69961438553396	0.110289124735416	3576.96380197694	-0.00939308038196602	0.0662339540233497	0.00199703471532235	0.775730514272422
"C3"	2.62897154404085	0.0522354105503292	51.4934563772447	-0.0323861048392795	0.210091567327	0.00234978677916195	0.886675256925481
"ZIC2"	2.55635115703224	3.6294096307912e-05	48.4568146095554	0.015152556772723	0.105849248916285	0.00277746658634815	0.999916433246773
"COBL"	2.54281380956923	3.6294096307912e-05	931.248704356	0.00294212161517571	0.0284066479222308	0.00286540616156649	0.999916433246773
"C12orf73"	2.52632238088773	3.6294096307912e-05	278.697170400496	-0.0062111838418991	0.052577644808297	0.00297630626902005	0.999916433246773
"IFI44L"	2.5116748413746	3.6294096307912e-05	97.8330180255789	-0.0129356583375867	0.0955372997875704	0.00307840076743151	0.999916433246773
"EPCAM"	2.50792256759572	3.6294096307912e-05	26749.4291225918	0.000925549218091338	0.00716669040384572	0.00310511316399655	0.999916433246773
"AP003119.3"	2.49382999949695	3.6294096307912e-05	75.9425331547163	-0.00961025651799673	0.07586177775011	0.00320752463424454	0.999916433246773
"AOC1"	2.4709821685339	3.6294096307912e-05	392.795964273417	0.0089359484764646	0.0725126160316946	0.00338078716915205	0.999916433246773
"SSPN"	2.45965976588051	3.6294096307912e-05	115.197616433394	-0.00572610569247654	0.0511484745313292	0.00347008596778066	0.999916433246773
"DACH1"	2.45275021823855	3.6294096307912e-05	33.8025458846421	0.0221074673142886	0.163860324738271	0.00352573593241932	0.999916433246773
"CA2"	2.44836965175457	3.6294096307912e-05	410.608256266453	0.00866258945939489	0.0716603903510517	0.00356147867478758	0.999916433246773
"EPHX4"	2.4275242972967	3.6294096307912e-05	16.0933064570565	0.0214304049426442	0.163572229923025	0.00373659219836963	0.999916433246773
"SNX10"	2.4164635068164	3.6294096307912e-05	38.0722714716918	0.0157642983884328	0.120620138478263	0.00383297947059956	0.999916433246773
"VNN1"	2.4013386929082	3.6294096307912e-05	72.9429336189054	-0.0148512507191202	0.115666681397532	0.00396881912750781	0.999916433246773
"PRC1-AS1"	2.38815565742805	3.6294096307912e-05	28.3946690141347	-0.020621596330396	0.167911224352536	0.0040911400107002	0.999916433246773
"SCPEP1"	2.38470326971897	3.6294096307912e-05	117.615843573933	0.00554520072786306	0.0519909381626762	0.00412379179587132	0.999916433246773
"CXCL3"	2.38423736548748	3.6294096307912e-05	59.2478303256206	-0.0139245303042065	0.110646569223043	0.00412821810811342	0.999916433246773
"GPC4"	2.37743645543007	3.6294096307912e-05	174.289027832271	-0.0082958795528977	0.0721367973104658	0.00419337348286421	0.999916433246773
"CMBL"	2.28534484102536	3.6294096307912e-05	3177.57345184791	0.00105621476912694	0.0127364439838173	0.00518388261813167	0.999916433246773
"AP000781.1"	2.28486288838316	3.6294096307912e-05	75.2107337651218	-0.0137868636627174	0.11848432473316	0.00518963855751695	0.999916433246773
"SAMD12-AS1"	2.26413787849867	3.6294096307912e-05	31.9815336655044	0.00999032473395085	0.0902465162315019	0.00544329813224699	0.999916433246773
"MAL2-AS1"	2.21601235646191	3.6294096307912e-05	47.0817496626231	-0.0146315474161079	0.152070204199841	0.0060811769898639	0.999916433246773
"CEACAM7"	2.18037698780739	3.6294096307912e-05	42.6973126937842	-0.0064362344920342	0.0659461317467792	0.0066012018421463	0.999916433246773
"MRPL19"	2.16824478532122	3.6294096307912e-05	2682.17521260465	0.000718920598508695	0.00819337704653085	0.00678820914806907	0.999916433246773
"KCNQ4"	2.1660901836309	3.6294096307912e-05	85.1340307545006	-0.00471485868192585	0.0516423686108107	0.00682197017480273	0.999916433246773
"KIF7"	2.15636275923549	3.6294096307912e-05	78.2057744018122	-0.00659777591204793	0.0682853659097362	0.00697649425226541	0.999916433246773
"HTRA2"	2.14257878342735	3.6294096307912e-05	695.845802664861	0.00152986661476477	0.0205601471318211	0.00720147100710774	0.999916433246773
"GNA14"	2.1075255313741	3.6294096307912e-05	116.351673813214	-0.00482091689641358	0.054379923373999	0.0078068254389745	0.999916433246773
"NFE2L3"	2.1067734847748	3.6294096307912e-05	5462.63253448032	-0.00116145037173156	0.016279212458944	0.0078203558499029	0.999916433246773
"C9orf163"	2.10313511919848	3.6294096307912e-05	18.2893477695096	0.010476158580684	0.106570692702053	0.00788614722911471	0.999916433246773
"LYPLAL1"	2.10241092703339	3.6294096307912e-05	328.15231878843	0.00125905821298437	0.0176482256402669	0.00789930846090603	0.999916433246773
"AC093752.1"	2.10119637975216	3.6294096307912e-05	224.729693921005	-0.00166420192100227	0.0227249122194381	0.00792143057373383	0.999916433246773
"AUTS2"	2.0812644054144	3.6294096307912e-05	826.662560392839	0.00110591805004164	0.0157998398149251	0.00829345694881754	0.999916433246773
"ENSG00000112096_SOD2"	2.07800284889253	3.6294096307912e-05	2729.2550270959	-0.000939927490468564	0.0133688106761367	0.00835597536845957	0.999916433246773
"AL928654.1"	2.06569988986997	3.6294096307912e-05	26.6262295136902	0.00873143352025672	0.0923576539559342	0.00859607330001911	0.999916433246773
"CXCL9"	2.05097132095812	3.6294096307912e-05	892.914397569542	-0.00414785923098184	0.049720470237069	0.00889259839023394	0.999916433246773
"GTF3C2"	2.04746276714089	3.6294096307912e-05	3237.42870215553	0.000592083393359338	0.00495230987366143	0.00896473038926432	0.999916433246773
"MAGEA3"	2.04344855946353	3.6294096307912e-05	137.893175632288	0.00457675473172895	0.0541035871216963	0.00904797601240335	0.999916433246773
"SPP1"	2.03875878500013	3.6294096307912e-05	331.853064508829	0.00752311993425883	0.0823875141814191	0.00914621097499249	0.999916433246773
"PRKACB"	2.03385135240588	3.6294096307912e-05	371.902438613351	0.00198962215095104	0.0275381438399152	0.00925014728006331	0.999916433246773
"AC005329.3"	2.02970610183817	3.6294096307912e-05	14.9390274325127	-0.00948756951684517	0.103416022234406	0.00933886071548446	0.999916433246773
"LGALSL"	2.0166333270725	3.6294096307912e-05	274.061738333262	0.00147273472164024	0.0215110711441565	0.00962424506247388	0.999916433246773
"STAT5A"	1.95802443897893	3.6294096307912e-05	71.6064037874331	-0.00434928291006012	0.0545638062566267	0.0110147732455273	0.999916433246773
"CNN3"	1.94465205122737	3.6294096307912e-05	95.1418452935744	0.00410265626508266	0.0524178623256659	0.0113592052989282	0.999916433246773
"SNAP29"	1.94105037141978	3.6294096307912e-05	1417.92356261738	0.000679876858711528	0.0102809487829446	0.0114538008742699	0.999916433246773
"QPCT"	1.93459911902944	3.6294096307912e-05	663.726296990178	-0.00117162034854551	0.0184647152485562	0.0116252119851112	0.999916433246773
"ZNF503"	1.92899438746949	3.6294096307912e-05	77.1256990921558	0.0037244418511973	0.0488652379298191	0.0117762119220867	0.999916433246773
"GSK3B"	1.92813358854571	3.6294096307912e-05	2427.93085011484	-0.000529766428266495	0.00627636355639141	0.0117995762604521	0.999916433246773
"RASGRP3"	1.92659038094194	3.6294096307912e-05	33.9329141992859	0.00432305768910035	0.0553203325153494	0.0118415790647618	0.999916433246773
"NPHP1"	1.92029340842113	3.6294096307912e-05	27.9746636713372	-0.00623906805382948	0.0759394882939171	0.0120145246165674	0.999916433246773
"TRIM31-AS1"	1.91170659424563	3.6294096307912e-05	21.4586216678732	-0.00723596087878737	0.0877704590177666	0.0122544381935998	0.999916433246773
"ANKRD50"	1.91091907011291	3.6294096307912e-05	988.503429729763	-0.000624693350980328	0.00943601773460412	0.0122766798325793	0.999916433246773
"MMD"	1.90882070110432	3.6294096307912e-05	467.651108775541	-0.0010331017704681	0.0167115832654421	0.0123361402685181	0.999916433246773
"AL354920.1"	1.9067789584239	3.6294096307912e-05	39.0988356783921	-0.00467613926994625	0.0597769622346192	0.0123942725364055	0.999916433246773
"INPP5D"	1.88935245708169	3.6294096307912e-05	755.123917303844	-0.00094636690377172	0.0155721277400582	0.012901717936774	0.999916433246773
"THBS3"	1.88914695116583	3.6294096307912e-05	27.1272849296926	-0.00621182273343785	0.0773925279480415	0.0129078244080273	0.999916433246773
"AC105285.1"	1.84678406298474	3.6294096307912e-05	40.2891831857181	-0.00432602704781523	0.0581214296172454	0.0142303616383122	0.999916433246773
"ARHGAP26"	1.84564193984356	3.6294096307912e-05	1614.46529175652	-0.000616587470966262	0.0100070601023717	0.014267834403658	0.999916433246773
"AC005726.2"	1.8332652552038	3.6294096307912e-05	18.7152634957776	-0.00732765722523303	0.0976578613153608	0.0146802937153809	0.999916433246773
"PRSS12"	1.81797496216806	3.6294096307912e-05	132.36101827763	0.00258871729194421	0.0386776939219765	0.0152063519446817	0.999916433246773
"NFKB2"	1.81684766325411	3.6294096307912e-05	466.46390988612	-0.0032135390487648	0.0462144294781334	0.0152458743699114	0.999916433246773
"HPS3"	1.81527206568434	3.6294096307912e-05	2769.72637516615	-0.000467036838625955	0.00560470943852223	0.0153012860559277	0.999916433246773
"AC097359.2"	1.81369179641715	3.6294096307912e-05	16.1072480898426	0.00673690815309462	0.0898905477864662	0.0153570643324944	0.999916433246773
"C2CD4A"	1.80531138239117	3.6294096307912e-05	128.48114668303	0.00440969795023682	0.0606559562967796	0.0156562813656158	0.999916433246773
"ZFYVE28"	1.80392047408583	3.6294096307912e-05	16.6170926826626	0.00574996062100637	0.0769974240913626	0.0157065038793784	0.999916433246773
"CHST4"	1.79415747232289	3.6294096307912e-05	24.4230532000919	-0.00618010434731891	0.0834621733620248	0.0160635869230572	0.999916433246773
"CLCN4"	1.79325625482197	3.6294096307912e-05	74.4466872231035	0.0020246036717653	0.0320630195158103	0.0160969555640777	0.999916433246773
"ECI2"	1.7887682098935	3.6294096307912e-05	45.2139205756211	0.00448696819564143	0.0622441469829875	0.0162641656941446	0.999916433246773
"KCTD7"	1.78172682691358	3.6294096307912e-05	154.856810001271	-0.00215902455452494	0.034025186148683	0.0165300121612977	0.999916433246773
"NUCB1-AS1"	1.78148905184135	3.6294096307912e-05	15.2013325087591	-0.00658286408602227	0.0912577970048635	0.0165390647768487	0.999916433246773
"PLCXD2"	1.78098595233781	3.6294096307912e-05	209.99159385389	0.000928589048896064	0.016492662061956	0.0165582352176757	0.999916433246773
"AGMO"	1.76604099518234	3.6294096307912e-05	60.4499832465276	0.00230219155780359	0.0361877278324118	0.0171379552632287	0.999916433246773
"N4BP3"	1.75597013183523	3.6294096307912e-05	35.5026974567553	-0.00500377426589764	0.0702005525934322	0.0175400112735141	0.999916433246773
"TNIP1"	1.74598216094401	3.6294096307912e-05	2598.69762450064	-0.000811824519322832	0.0148615383279405	0.0179480734872528	0.999916433246773
"EPB41L2"	1.7443021985125	3.6294096307912e-05	1389.86080310685	0.00164220290626053	0.0277281203075495	0.0180176356938001	0.999916433246773
"CDH3"	1.73579724228377	3.6294096307912e-05	643.670078232115	0.000615462080611865	0.011166159099667	0.0183739596248344	0.999916433246773
"H6PD"	1.73295852282162	3.6294096307912e-05	441.152432753141	-0.00135111080965885	0.0236920880455925	0.0184944524131712	0.999916433246773
"HERPUD2"	1.73102061090336	3.6294096307912e-05	796.325898941042	-0.000535473229451338	0.00938599166784677	0.0185771628883336	0.999916433246773
"ASPRV1"	1.72851956038687	3.6294096307912e-05	14.2920342814318	-0.00590180823391981	0.0853713139444949	0.0186844552159231	0.999916433246773
"GEMIN7-AS1"	1.72735629707091	3.6294096307912e-05	21.9922421692847	-0.00489658444934033	0.0703415213914715	0.0187345688528769	0.999916433246773
"H1FX-AS1"	1.72508905340501	3.6294096307912e-05	218.66504879714	-0.00117814367224736	0.0211655473983533	0.0188326288111028	0.999916433246773
"PLOD2"	1.72068721372445	3.6294096307912e-05	1101.35598896478	0.001145656424701	0.0207129715238237	0.0190244796202303	0.999916433246773
"CYP2B6"	1.71962549187534	3.6294096307912e-05	58.4018946575163	0.00365326205180511	0.0545621351985187	0.0190710457558663	0.999916433246773
"BLMH"	1.71831724591151	3.6294096307912e-05	102.354498713587	0.00223094595461702	0.0362388538685606	0.0191285809903709	0.999916433246773
"SAMM50"	1.70999044741017	3.6294096307912e-05	989.296720581262	0.000522871178629605	0.00930412486585089	0.0194988748833095	0.999916433246773
"TAF1A-AS1"	1.70953005166944	3.6294096307912e-05	30.088439577727	0.00428760952689276	0.0631392980039962	0.0195195566081929	0.999916433246773
"MRPS7"	1.70885314239372	3.6294096307912e-05	2498.83273105837	0.000431546636033216	0.00639871263145599	0.0195500043158378	0.999916433246773
"SMYD2"	1.70836801203903	3.6294096307912e-05	1329.20187776159	0.000441918605970226	0.00687192859774753	0.0195718549267345	0.999916433246773
"ST13"	1.6972071962461	3.6294096307912e-05	7065.336996937	0.00041905418490957	0.00448265764277789	0.0200813452918144	0.999916433246773
"FAP"	1.68433357818804	3.6294096307912e-05	36.002384774352	0.00266793207574826	0.0428309170115938	0.0206855189994419	0.999916433246773
"IBTK"	1.68422563258614	3.6294096307912e-05	2890.69030038989	-0.000412392842921963	0.00585995480768465	0.0206906611055808	0.999916433246773
"PRDM8"	1.68420293757915	3.6294096307912e-05	184.129499247134	-0.000911835936200196	0.0172981155382381	0.020691742369533	0.999916433246773
"TANC2"	1.67945159188518	3.6294096307912e-05	24.8851072450421	0.00414358349864552	0.0625595662088738	0.0209193606925912	0.999916433246773
"AC020656.1"	1.66948619542765	3.6294096307912e-05	88.4843063286181	-0.0052088215645931	0.0790662150360225	0.0214049296383313	0.999916433246773
"TMCO3"	1.6653935026534	3.6294096307912e-05	1253.47881276814	0.000422683314771488	0.00679876930592675	0.0216075982961684	0.999916433246773
"SCN9A"	1.65971198818981	3.6294096307912e-05	40.6917839229046	0.00308437643786307	0.0490702666594181	0.0218921296673806	0.999916433246773
"ZEB1-AS1"	1.65853091934552	3.6294096307912e-05	59.0246772200211	-0.00232026782838406	0.0387385934786456	0.0219517465938083	0.999916433246773
"PRCP"	1.65776533042067	3.6294096307912e-05	494.837944768207	0.000575312255295767	0.0110939081769066	0.0219904779997685	0.999916433246773
"C14orf28"	1.65477737673463	3.6294096307912e-05	20.9178724889419	0.00419777160804792	0.0644629439625812	0.0221422945271354	0.999916433246773
"SIRPA"	1.65245482460113	3.6294096307912e-05	44.8072116539464	0.00335538849910946	0.0529564394882593	0.0222610259238688	0.999916433246773
"MRPL58"	1.6482105727224	3.6294096307912e-05	1032.25207440359	0.000414819183099499	0.00675382388492763	0.0224796438991831	0.999916433246773
"SLC9A3-AS1"	1.63931942162284	3.6294096307912e-05	121.387688523479	-0.00162811265488575	0.0292369811306136	0.0229446046209251	0.999916433246773
"ADGRL1"	1.63902925406079	3.6294096307912e-05	50.6887591533332	0.00288250260622692	0.0469411747556239	0.0229599398483055	0.999916433246773
"ANKRD29"	1.63795220556037	3.6294096307912e-05	73.6135701295699	-0.00217042141354911	0.037099887238464	0.0230169510677639	0.999916433246773
"MCCC1"	1.63144414272331	3.6294096307912e-05	528.363222029243	0.000487326526099289	0.00924803246380944	0.0233644658761911	0.999916433246773
"METTL7B"	1.62748593923581	3.6294096307912e-05	414.866947350102	0.000755536363330926	0.0150836798831642	0.0235783853235583	0.999916433246773
"TRIM29"	1.62718750888265	3.6294096307912e-05	1354.87323997612	-0.000510280713806965	0.00987959691104195	0.0235945930450775	0.999916433246773
"RAET1E"	1.62454562244534	3.6294096307912e-05	18.3117549976942	0.00332411549269252	0.0534887809983043	0.02373856037098	0.999916433246773
"FAM3D"	1.62115465098833	3.6294096307912e-05	250.079191481597	-0.000809363798873405	0.0161626964326135	0.0239246365542441	0.999916433246773
"PLCG1-AS1"	1.62057149613928	3.6294096307912e-05	30.3677390358701	-0.00492445893143727	0.078633347187807	0.0239567832647304	0.999916433246773
"RPARP-AS1"	1.61114107969825	3.6294096307912e-05	216.321846321734	-0.000669532230630043	0.0135636020775454	0.0244826779773023	0.999916433246773
"SLCO2B1"	1.60638770529648	3.6294096307912e-05	40.5078222685693	0.00326965211119958	0.0533597501992075	0.0247521138932939	0.999916433246773
"LINC01978"	1.5985219004886	3.6294096307912e-05	32.1831101488675	0.0029174688206716	0.0486249069844136	0.0252045007583681	0.999916433246773
"KLHL30"	1.59716837810356	3.6294096307912e-05	16.2068253374403	-0.00475658091910689	0.0777176904518893	0.025283175652622	0.999916433246773
"AC000123.3"	1.59439288910976	3.6294096307912e-05	104.605775191073	-0.0011626037888004	0.0226282577780897	0.0254452727744447	0.999916433246773
"CAPN13"	1.59409445546341	3.6294096307912e-05	59.4172604298839	0.0034582190147224	0.0565200772773429	0.0254627639826837	0.999916433246773
"AC092718.3"	1.59132772507449	3.6294096307912e-05	13.5387686373463	-0.00432173649235081	0.0699574383282985	0.0256254956870789	0.999916433246773
"AC083855.2"	1.58331365718731	3.6294096307912e-05	34.9774065938164	0.0020564248941759	0.0366206052086763	0.0261027547414559	0.999916433246773
