replicate,condition,group,timepoint
HT29CHD1g2_CTRL_R1,HT29CHD1g2_CTRL,HT29CHD1g1,CTRL
HT29CHD1g2_CTRL_R2,HT29CHD1g2_CTRL,HT29CHD1g1,CTRL
HT29CHD1g2_CTRL_R3,HT29CHD1g2_CTRL,HT29CHD1g1,CTRL
HT29CHD1g2_IFNg24h_R1,HT29CHD1g2_IFNg24h,HT29CHD1g2,IFNg24h
HT29CHD1g2_IFNg24h_R2,HT29CHD1g2_IFNg24h,HT29CHD1g2,IFNg24h
HT29CHD1g2_IFNg24h_R3,HT29CHD1g2_IFNg24h,HT29CHD1g2,IFNg24h
HT29CHD1g2MAP3K7g1_CTRL_R1,HT29CHD1g2MAP3K7g1_CTRL,HT29CHD1g2MAP3K7g1,CTRL
HT29CHD1g2MAP3K7g1_CTRL_R2,HT29CHD1g2MAP3K7g1_CTRL,HT29CHD1g2MAP3K7g1,CTRL
HT29CHD1g2MAP3K7g1_CTRL_R3,HT29CHD1g2MAP3K7g1_CTRL,HT29CHD1g2MAP3K7g1,CTRL
HT29CHD1g2MAP3K7g1_IFNg24h_R1,HT29CHD1g2MAP3K7g1_IFNg24h,HT29CHD1g2MAP3K7g1,IFNg24h
HT29CHD1g2MAP3K7g1_IFNg24h_R2,HT29CHD1g2MAP3K7g1_IFNg24h,HT29CHD1g2MAP3K7g1,IFNg24h
HT29CHD1g2MAP3K7g1_IFNg24h_R3,HT29CHD1g2MAP3K7g1_IFNg24h,HT29CHD1g2MAP3K7g1,IFNg24h
HT29MAP3K7g1_CTRL_R1,HT29MAP3K7g1_CTRL,HT29_MAP3K7g1,CTRL
HT29MAP3K7g1_CTRL_R2,HT29MAP3K7g1_CTRL,HT29_MAP3K7g1,CTRL
HT29MAP3K7g1_CTRL_R3,HT29MAP3K7g1_CTRL,HT29_MAP3K7g1,CTRL
HT29MAP3K7g1_IFNg24h_R1,HT29MAP3K7g1_IFNg24h,HT29_MAP3K7g1,IFNg24h
HT29MAP3K7g1_IFNg24h_R2,HT29MAP3K7g1_IFNg24h,HT29_MAP3K7g1,IFNg24h
HT29MAP3K7g1_IFNg24h_R3,HT29MAP3K7g1_IFNg24h,HT29_MAP3K7g1,IFNg24h
HT29NTC_CTRL_R1,HT29NTC_CTRL,HT29NTC,CTRL
HT29NTC_CTRL_R2,HT29NTC_CTRL,HT29NTC,CTRL
HT29NTC_CTRL_R3,HT29NTC_CTRL,HT29NTC,CTRL
HT29NTC_IFNg24h_R1,HT29NTC_IFNg24h,HT29NTC,IFNg24h
HT29NTC_IFNg24h_R2,HT29NTC_IFNg24h,HT29NTC,IFNg24h
HT29NTC_IFNg24h_R3,HT29NTC_IFNg24h,HT29NTC,IFNg24h
