"gene"	"neg_log10_pval"	"neg_Log10_padj"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"RAPGEF3"	16.3393384380522	12.1682558606947	286.652062274557	0.970692002049378	0.117651451426089	4.57785003873428e-17	6.7880360374352e-13
"C1RL"	10.0019030398122	6.24964157674652	101.423442131135	1.03910783028781	0.167426917503199	9.95627675461864e-11	5.62805617072472e-07
"SNCG"	9.94360289938439	6.24964157674652	229.102444086394	0.991252444516748	0.160445666568894	1.13866796008728e-10	5.62805617072472e-07
"SOCS2"	9.0901665869353	5.52114400090574	224.584403323267	1.09827158863968	0.18826345943711	8.12518789941845e-10	3.01200715431442e-06
"RAB36"	8.32108761932773	4.9122005004257	363.234289221225	0.537311498601001	0.121183228020679	4.77432941387199e-09	1.22405096205853e-05
"SRPX"	8.30513182739958	4.9122005004257	100.700180165879	0.825962787119722	0.157382220011458	4.95299822791421e-09	1.22405096205853e-05
"ADAMTS3"	7.62760511130497	4.31119277536589	723.139672468737	0.394628154298152	0.0902931889541656	2.35719162119362e-08	4.8843550364348e-05
"CHD1"	7.57918536573147	4.31119277536589	2101.72414773634	-0.59999947924724	0.143006966296907	2.63520638599126e-08	4.8843550364348e-05
"KLHL29"	7.44528778383115	4.2564992528573	338.819059179203	0.423458751337234	0.102122514631966	3.586841749721e-08	5.5398849699723e-05
"FAM217B"	7.41511467261279	4.2564992528573	1587.80369728314	-0.333580740339486	0.0719815591176425	3.84490246510334e-08	5.5398849699723e-05
"MGP"	7.3861891450566	4.2564992528573	320.337070347636	0.992740463337852	0.200760174282396	4.10970695101803e-08	5.5398849699723e-05
"CPNE8"	6.85314362019041	3.76124228888051	45.4061872558295	1.42720485135701	0.337250683385551	1.40234987398109e-07	0.000173283699428263
"TOX"	6.62040770706725	3.56326848201656	38.1088591974741	1.17626420735734	0.270797007171637	2.39658199886012e-07	0.000273357829839214
"CANX"	6.50803256249737	3.48307802081808	54926.2428309988	-0.319011415703126	0.0752150879529032	3.10432682343095e-07	0.000328792558127387
"BAHCC1"	6.45680536901913	3.47517341037423	18.842708936381	1.49440229544483	0.633783896524417	3.49296819311826e-07	0.000334831716788827
"RETREG1"	6.44213600507583	3.47517341037423	1562.95879542047	-0.313800552226769	0.0740596822844733	3.61296700068872e-07	0.000334831716788827
"RNF24"	6.37758435391687	3.43695069793761	2015.55598683408	0.236744951290047	0.051261135291603	4.19194567747545e-07	0.0003656362970918
"HLA-DPB1"	6.31307441483885	3.39726434258463	164.559344105668	0.850049992215001	0.21592635606842	4.8632386865981e-07	0.000400622795804871
"RNF145"	5.95374467648747	3.06141570008277	2464.81252125359	-0.273588661050159	0.0653189778951845	1.11238551109983e-06	0.000868129071504643
"ALPK3"	5.8467864421615	2.97673386046796	518.61559773524	0.640604657109605	0.202813055817798	1.42302836809482e-06	0.0010550332321055
"HLA-DPA1"	5.80889050291622	2.96002722029262	283.319909156683	0.99174520544494	0.288021915715941	1.55277845697806e-06	0.00109640947428908
"OGDHL"	5.7354648176513	2.90680492111598	735.754447818916	-0.331712715282309	0.0913416300857672	1.8388029099008e-06	0.00123935316127314
"MYBPC1"	5.67305423774466	2.86369949640473	1976.98135755196	0.633112150896512	0.211343729227037	2.12297931287885e-06	0.00136867553266816
"SKA3"	5.5352801859633	2.76046310695806	541.818329616365	-0.315297170795167	0.0877558620997828	2.91554543707983e-06	0.00173594872435572
"NMNAT2"	5.53360567564354	2.76046310695806	2177.79285544888	-0.300060277661991	0.0809338415612774	2.92680861268499e-06	0.00173594872435572
"TBC1D9"	5.51423856855035	2.75812933916364	1689.04864515703	0.282172909311973	0.0738609158032065	3.06028188440261e-06	0.00174530229930469
"C11orf80"	5.3184004383795	2.57868162518096	854.800186920417	-0.257276332214602	0.0672910872933256	4.80396198014588e-06	0.002638264749689
