"gene"	"neg_log10_pval"	"neg_Log10_padj"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"C1RL"	11.7441573723067	7.59911643226972	101.423442131135	1.15452588533256	0.175590456194503	1.80236451207209e-12	2.51700204110867e-08
"RAB36"	11.1767559257076	7.41287351669336	363.234289221225	0.669747458659392	0.105411231780269	6.65647146012839e-12	3.86479518409819e-08
"CHD1"	11.0544949310658	7.41287351669336	2101.72414773634	-0.761701377258676	0.118098706803657	8.82074097338738e-12	3.86479518409819e-08
"WNT2"	10.9558544654024	7.41287351669336	1436.50022613145	0.622356660360286	0.101264400060855	1.10699468216203e-11	3.86479518409819e-08
"MGP"	10.3611256882859	6.9535772270345	320.337070347636	1.11365904643278	0.18252509365631	4.35385851313557e-11	1.11281449251021e-07
"RAPGEF3"	10.3204669166879	6.9535772270345	286.652062274557	0.690514819829158	0.114017216505229	4.78115786255729e-11	1.11281449251021e-07
"SERPING1"	10.1080439051872	6.80810100516443	132.462794002548	1.05086396040366	0.173500934091148	7.79751277248179e-11	1.55560379811012e-07
"SOCS2"	9.96159137804715	6.71964042500207	224.584403323267	1.11562102136514	0.187780726823477	1.09246774153335e-10	1.90703900131415e-07
"SNCG"	8.91897413509206	5.72817570449436	229.102444086394	0.917433339395543	0.163007653242328	1.20510770981189e-09	1.86992546305812e-06
"WWC3"	8.51545337508243	5.37041243504541	973.254700075688	0.300019643319649	0.0598158274182589	3.0517336390872e-09	4.26174602698528e-06
"SLC2A10"	8.22840481933219	5.12475656445339	342.386188038802	0.888116080067584	0.16767358466756	5.91010478176404e-09	7.50314666157589e-06
"APOD"	8.11471473828876	5.04885504429937	4336.49526919585	0.535163071052353	0.116156378423528	7.67865688165051e-09	8.93603694602078e-06
"PSD4"	7.38178247427561	4.35068488654543	966.903478282824	0.394185986966118	0.0960731136475717	4.15161933343027e-08	4.45979723010413e-05
"ARHGDIB"	7.23359145255806	4.23467854819927	1250.73155546079	0.491565655879135	0.121573836592536	5.83994218220075e-08	5.82534232674524e-05
"CYTH3"	6.94921626618283	3.98026658520149	1610.59355597403	0.275642425908678	0.0643337963226133	1.1240450923928e-07	0.00010464859810177
"SRPX"	6.88918302770247	3.94826207032137	100.700180165879	0.862860685597447	0.193665884177289	1.29067522086818e-07	0.000112651746621401
"C9orf152"	6.672436135065	3.75784411640625	4215.68450995927	0.289962806266567	0.0714469808485743	2.12600296042113e-07	0.000174644890248712
"ALPK3"	6.44228904396069	3.55252060902697	518.61559773524	0.693216364043393	0.175998060112621	3.61169406940793e-07	0.000280207264884899
"TBC1D9"	6.39849509035277	3.53220775126858	1689.04864515703	0.296092054412281	0.0768018555052302	3.99489077459045e-07	0.000293624471932398
"SLC29A2"	6.33476953415924	3.49748320456337	3138.86921119684	-0.349230876157865	0.0971475876300371	4.62626456962101e-07	0.000318065669123926
"DPYSL3"	6.32030484986647	3.49748320456337	1209.90448676488	-0.306814948731983	0.0817086574360996	4.78294239284099e-07	0.000318065669123926
"RAB11FIP1"	5.9297708157283	3.12715255651348	4093.6542267819	0.388336359784278	0.120446905312657	1.17551773113964e-06	0.000746186596152956
"ST7-AS1"	5.82515809402695	3.06727795320677	85.6796012739563	0.85075314894254	0.251164152784182	1.49569108810908e-06	0.000856489507148646
"KRCC1"	5.81887600818384	3.06727795320677	200.10294389528	0.786024353053186	0.230004193505318	1.51748354976387e-06	0.000856489507148646
"BACE1"	5.81437888457175	3.06727795320677	1123.505184037	0.438427786072669	0.141342701712954	1.53327874534308e-06	0.000856489507148646
"ZNF697"	5.75974668921023	3.02967909714402	445.512609881012	0.320174197641706	0.0970930614130103	1.73881473088821e-06	0.000933944142955917
"LINC02724"	5.6423532890963	2.94035765733722	67.9319108211208	0.911917190163795	0.305978336116174	2.27848781772113e-06	0.00114720846437493
"TRAM2"	5.63824056603202	2.94035765733722	1179.09610595761	0.35358212356664	0.11452463565678	2.30016734711766e-06	0.00114720846437493
"CREB3L1"	5.59345865575438	2.91081571361631	623.29841526301	0.511229625676403	0.172321238558482	2.55000683343639e-06	0.0012279601872048
"ATP2A3"	5.5540344818466	2.88611479652924	1883.04512326492	0.648217503357355	0.211241865588074	2.79232212935795e-06	0.00129982595121612
"HIVEP3"	5.39438536117454	2.7516868206051	217.892843426892	0.464187077527699	0.167024659728563	4.03287386411927e-06	0.00177138588354878
"WDR66"	5.39157778232221	2.7516868206051	52.1040895436281	0.822249583250278	0.292560781461501	4.05902959352388e-06	0.00177138588354878
"RNF130"	5.36578001841594	2.73925301825681	2546.97697672166	-0.198313409838541	0.0579430234249207	4.30744738788938e-06	0.00182283341732955
"ST7"	5.25900204981655	2.64544002682178	3402.63396865818	0.360668283543108	0.13035618197394	5.50805096666943e-06	0.00226235093380996
"FAM217B"	5.14306351283264	2.5420906171459	1587.80369728314	-0.251650439056713	0.08074544488248	7.19343770815134e-06	0.00287018164555238
"GORASP1"	4.98314396882406	2.39440552955432	1047.74431629165	0.293591544724109	0.105843034147918	1.0395754889407e-05	0.00403268658418247
"GCC2"	4.96150221115308	2.38466299518306	5719.55037553519	0.355683745852354	0.140911488983978	1.0926920638772e-05	0.00412417423568785
"KDM7A-DT"	4.93742929743588	2.37284133019515	605.388748765147	0.595152435082311	0.249135512696493	1.15496999696456e-05	0.00423797772592943
"UHMK1"	4.90675442575093	2.37284133019515	6507.4568932939	0.221029883968807	0.0726573444167525	1.2394972690876e-05	0.00423797772592943
"SI"	4.88750244637904	2.37284133019515	849.977461482031	-0.469075337061564	0.200737205281037	1.29567939893972e-05	0.00423797772592943
"SEMA4B"	4.88565164597231	2.37284133019515	1384.0197132279	0.293015282559314	0.109027897520064	1.30121288165165e-05	0.00423797772592943
"EPHB3"	4.87568102599143	2.37284133019515	1648.8602466808	0.251881257804678	0.0872188351444075	1.33143194884943e-05	0.00423797772592943
"FAM110C"	4.87527946588146	2.37284133019515	265.638966405022	0.282852944451571	0.10366135700979	1.33266359519539e-05	0.00423797772592943
"EPM2AIP1"	4.8690604011759	2.37284133019515	1090.37515484078	0.35081700738961	0.142960218293808	1.35188453157674e-05	0.00423797772592943
"LAMB2"	4.86466975645683	2.37284133019515	349.113677290827	0.429086588841771	0.183997655930872	1.36562117913945e-05	0.00423797772592943
"NMNAT2"	4.79756025868543	2.32552602107919	2177.79285544888	-0.251820467995762	0.0893388541279076	1.5938217214091e-05	0.00472578521153986
"PSMD5"	4.79522581637338	2.32552602107919	609.835615288284	-0.516078470319091	0.230157169272064	1.60241198163701e-05	0.00472578521153986
"TMBIM1"	4.78932572374063	2.32552602107919	181.759564691902	0.75151475323026	0.433205907686083	1.62433004048631e-05	0.00472578521153986
"ALPK1"	4.77881232571208	2.32396746570357	138.195626472836	0.433604864508423	0.192651766003845	1.66413162622518e-05	0.00474277513474177
"ZXDB"	4.74644957752325	2.30037864182225	796.927786704807	0.241550372392171	0.0855349667418085	1.79287669693021e-05	0.00500750461452608
"KLHL29"	4.68660490081701	2.25184852925712	338.819059179203	0.282356079349351	0.110601194222551	2.05776179243424e-05	0.0055995286459591
"MSANTD4"	4.68088612565934	2.25184852925712	103.948127537675	0.609985956145491	0.293862850608562	2.08503751944055e-05	0.0055995286459591
"CDC5L"	4.66940451478058	2.24863944434435	2470.12054046536	-0.183047878905711	0.061676535631452	2.1408955784184e-05	0.0056410578778515
"ADAMTS3"	4.64266814560729	2.23002096539324	723.139672468737	0.261197829268441	0.0995019585858156	2.27683654936103e-05	0.00588815229848644
"CDC42EP4"	4.62659264239969	2.22191439185691	2335.84134285522	0.310415129333853	0.131404616549875	2.36269334271816e-05	0.00599909318746529
"AC083862.2"	4.56765826462495	2.17080535159413	181.651340054452	0.360555324582216	0.167661390980222	2.70608687807981e-05	0.00674830415221151
"AP000944.7"	4.53585500423402	2.14668891986949	22.9471169660069	0.515925193668909	0.533388563910729	2.91168906713804e-05	0.00713363821448821
"PTGS1"	4.50824121286345	2.12864512263549	100.502950179825	0.662559812168556	0.415726317944488	3.10283575369244e-05	0.00743626533212952
"SLC48A1"	4.50283405103037	2.12864512263549	527.41321174865	0.239298930857592	0.0915808918071661	3.14170894805329e-05	0.00743626533212952
"CRABP1"	4.48819172170388	2.1213020320505	21.4837126521038	-0.417956955351146	0.519775055656972	3.2494381747021e-05	0.00756306735161913
"TCTN2"	4.43746173051009	2.08620775920477	269.010667247853	0.334691395210329	0.160126759793604	3.65206307362829e-05	0.00819959195747644
"TMTC1"	4.43717625292001	2.08620775920477	2044.68537592516	0.438010203709559	0.228122962136742	3.65446449696486e-05	0.00819959195747644
"HSP90AB1"	4.43190814978822	2.08620775920477	65141.9536440942	-0.181055007082395	0.0646838634307929	3.69906404096682e-05	0.00819959195747644
"XPO4"	4.41201403587832	2.07646583337984	1463.72757141808	-0.207894368231272	0.077427477337957	3.87245129419867e-05	0.0083856004684574
"RETREG1"	4.40590549320061	2.07646583337984	1562.95879542047	-0.22539531107887	0.0868000753039857	3.92730388140711e-05	0.0083856004684574
"GPR137"	4.40196283787499	2.07646583337984	4843.92834757028	0.253159194535427	0.103983363328687	3.96311944803572e-05	0.0083856004684574
"SUGCT"	4.31524321360488	1.99627707626868	65.1363654621854	0.488569325648824	0.279515402145324	4.83901297274115e-05	0.0100860919648254
"OGDHL"	4.2994649272055	1.98693289987471	735.754447818916	-0.256077636720645	0.11078376590935	5.01805102223909e-05	0.0103054533125837
"ACOT11"	4.2615148203305	1.95532297103073	145.7060829612	0.424983606899252	0.242167078353723	5.47627412818098e-05	0.011083502637688
"HSPA9"	4.23669245190158	1.93674955187881	26870.1923485228	-0.168760873867303	0.0625791831814115	5.79839167463308e-05	0.011567791390893
"SPRED1"	4.21952822568244	1.92574563436449	218.580032340245	0.419916705132039	0.244509457399877	6.03214502514166e-05	0.01186463454593
"USP9Y"	4.18034095019876	1.89263250659301	2583.37755368299	-0.194398674122683	0.0763372850173619	6.60174963036083e-05	0.0128046435538874
"CNN3"	4.1675864706176	1.89134052600982	1660.34794195711	0.294430645870358	0.150216134024887	6.79850669209908e-05	0.0128427927437205
"PDE8B"	4.16384602268331	1.89134052600982	130.584587209317	0.417027696398125	0.250806786607971	6.85731306564046e-05	0.0128427927437205
"PRIM1"	4.16132020265515	1.89134052600982	622.034620088825	-0.25346378723063	0.116253881314385	6.89731081832463e-05	0.0128427927437205
"RPGR"	4.1035434078119	1.83931606005567	210.110449375181	0.308276054403387	0.168095902071232	7.87873679399209e-05	0.0144771788589605
"HIST1H2AC"	4.08752354228433	1.82897332741978	698.180528308784	0.49723940166488	0.345395637194165	8.17478722763606e-05	0.0148260913810308
"AK2"	4.07787338864616	1.8255135883363	7170.53929122825	-0.140931259877716	0.0518685389750799	8.35846659946663e-05	0.0149446728229337
"PDE6B"	4.07292743708288	1.8255135883363	45.9086687270312	-0.5185497506555	0.404420407200844	8.45420088085759e-05	0.0149446728229337
"ACOT2"	4.06111320892918	1.82545611234987	270.96694197616	-0.294910941058612	0.160134159555259	8.6873394411744e-05	0.0149466507818752
"GMPR2"	4.05772506520151	1.82545611234987	688.021051127951	-0.191969570196645	0.0782921061716017	8.75537868497495e-05	0.0149466507818752
"CD7"	4.05668320000318	1.82545611234987	404.413512149204	0.355284014182775	0.215076958788436	8.77640790629263e-05	0.0149466507818752
"SDK2"	4.04676868256653	1.82080583490558	39.6989829056933	0.427142944569911	0.478207203046244	8.97906917590761e-05	0.0151075543423554
"GRK2"	4.03913521008959	1.81837355611444	18676.8312783254	0.18928572132908	0.0772873988714756	9.13828692390145e-05	0.0151924020109862
"HIST1H2BJ"	4.01337179816225	1.79774978383952	140.914546128491	0.442487995416715	0.304003867746075	9.69679472208136e-05	0.0159312633286901
