"gene"	"neg_log10_pval"	"neg_Log10_padj"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"RAPGEF3"	16.1905165046476	12.0194339272901	286.652062274557	0.957371368221778	0.116639110041335	6.44886811539598e-17	9.56238164150916e-13
"CHD1"	13.4169284490953	9.54687586740175	2101.72414773634	-0.872972276197157	0.118572179402957	3.82887819672601e-14	2.83873029505266e-10
"C1RL"	12.5776545251164	8.88369320247855	101.423442131135	1.15847161596486	0.163703078266384	2.64451159096556e-13	1.30709392902791e-09
"SNCG"	10.653116687994	7.08409410196446	229.102444086394	1.02226472842674	0.158465504481144	2.22271260302207e-11	8.23959561940281e-08
"KLHL29"	10.4499879575023	6.97787538448082	338.819059179203	0.547317968186344	0.100849583069483	3.54823227946323e-11	1.05226376479762e-07
"FAM217B"	10.0449623392051	6.65203101223126	1587.80369728314	-0.411376392579761	0.0746932981777251	9.01649322706877e-11	2.22827602618293e-07
"ABCC3"	9.81907566209099	6.49309112474772	148.75592793363	1.14004897491313	0.186440799786799	1.51678609238878e-10	3.21298631113441e-07
"WWC3"	9.06968389518201	5.80169130481643	973.254700075688	0.321858008253135	0.0573427369027499	8.51757771549985e-10	1.5787330295679e-06
"RNF145"	8.8495565693001	5.63271650138189	2464.81252125359	-0.355377185301638	0.0665453040949213	1.41398053415325e-09	2.32961148449161e-06
"SOCS2"	8.52803226964451	5.35694969228699	224.584403323267	1.05492155163493	0.188718638072351	2.96461110005582e-09	4.39592533916277e-06
"OGDHL"	8.04958821743943	4.91989832524013	735.754447818916	-0.434445370209778	0.095518368473136	8.92096391282789e-09	1.2025459354492e-05
"TMTC1"	7.27878666590594	4.18688533459604	2044.68537592516	0.804711822504431	0.172534211585614	5.26275720015812e-08	6.50301364699538e-05
"ZG16"	6.94787082120226	3.89073159615157	26.0265776933533	1.5559761006633	0.383491639562807	1.12753278548759e-07	0.000128608124178538
"MYBPC1"	6.70707936531571	3.69279116144557	1976.98135755196	0.747857809492579	0.179752884275868	1.96300151457301e-07	0.000202865800282753
"MGP"	6.68778247974742	3.69279116144557	320.337070347636	0.928363563491471	0.208272429355758	2.0521897789596e-07	0.000202865800282753
"SDC1"	6.58992969923521	3.67121902616318	9346.16831379885	0.26050908694482	0.0551948598502306	2.5708118953906e-07	0.000213196943354993
"HLA-DPA1"	6.58969191584694	3.67121902616318	283.319909156683	1.07977631268707	0.243105481041699	2.57221984268563e-07	0.000213196943354993
"TBC1D9"	6.5870290984174	3.67121902616318	1689.04864515703	0.322495821888461	0.0726122802578385	2.58803950660229e-07	0.000213196943354993
"CANX"	6.47671964880082	3.58439067239613	54926.2428309988	-0.324549832172016	0.074358311292126	3.3364171983275e-07	0.000260381022193685
"CASP4"	6.35287613424752	3.54904852981244	198.870754885867	0.878330640529089	0.212713530997613	4.43735184233949e-07	0.00028245643290998
"OIP5-AS1"	6.34907251769673	3.54904852981244	3044.79236675502	-0.219766290848193	0.0471496599647773	4.47638552070439e-07	0.00028245643290998
"APOL3"	6.34906481282766	3.54904852981244	2985.51234382719	0.344981166546804	0.0829848544292842	4.47646493748658e-07	0.00028245643290998
"SAMD9"	6.34232826089448	3.54904852981244	695.039979080922	1.22418977047745	0.297919416134581	4.54644287978774e-07	0.00028245643290998
"BAHCC1"	6.33991986545836	3.54904852981244	18.842708936381	1.49372350003339	0.591714267859495	4.57172537755565e-07	0.00028245643290998
"CYTH3"	6.27139106932266	3.49824850063717	1610.59355597403	0.269052000724302	0.0596514077636873	5.35314405646101e-07	0.000317505680276815
"CDC5L"	6.22905935094541	3.4729501215587	2470.12054046536	-0.24452683670373	0.0536942641554847	5.90120428447922e-07	0.000336550219731761
"RAB36"	6.19074235133755	3.45691154565241	363.234289221225	0.417745034845912	0.114913274955336	6.44551537447304e-07	0.000349211433407429
"PSD4"	6.18083609166772	3.45691154565241	966.903478282824	0.333832807750569	0.0809808384412609	6.59422722916646e-07	0.000349211433407429
"RETREG1"	6.10057293407588	3.39188835461731	1562.95879542047	-0.307831034396043	0.0728066084708941	7.93281024421445e-07	0.00040561279414211
"PARP14"	6.00799161411611	3.31403029147824	6085.82942519591	0.680073202308415	0.194062595784233	9.81766899981426e-07	0.000485254653097486
"TCEAL9"	5.96689483750163	3.29728139364613	27.6219758345414	1.20218245823065	0.328369488893177	1.07920801606672e-06	0.000504334416858258
"TRGV9"	5.96321399268375	3.29728139364613	5735.79908856156	0.436431697200468	0.127748655421297	1.08839367004749e-06	0.000504334416858258
"HLA-DPB1"	5.87466059683184	3.2220919593522	164.559344105668	0.797421381736455	0.222587434534006	1.33456399272738e-06	0.000599664087398837
"WNT2"	5.84481854583311	3.21297808815288	1436.50022613145	0.369185196502754	0.101010151259744	1.42949109466243e-06	0.000612381287965048
"UCHL1"	5.8353427601064	3.21297808815288	121.64652124486	0.60855626351709	0.186635865860012	1.46102362932976e-06	0.000612381287965048
"APOD"	5.82775816474312	3.21297808815288	4336.49526919585	0.396883533838298	0.113929600136519	1.4867633104088e-06	0.000612381287965048
"MSANTD4"	5.7660814816001	3.16320062830957	103.948127537675	0.832814112122222	0.236881529228596	1.713635767886e-06	0.000686751112600366
"TOX"	5.74662294567946	3.16161684147163	38.1088591974741	1.05714650251506	0.299238068133883	1.7921611324733e-06	0.000689260131449041
"ASZ1"	5.73730526476614	3.16161684147163	166.652610244248	1.18701508563915	0.35635469799448	1.83102694458109e-06	0.000689260131449041
"ARHGDIB"	5.72431421319595	3.16161684147163	1250.73155546079	0.380838782028497	0.109035977323505	1.88662587642787e-06	0.000689260131449041
"RNF26"	5.71991556210942	3.16161684147163	586.019775597814	0.429311422877155	0.131423570237649	1.90583122399586e-06	0.000689260131449041
"OAS1"	5.4757980827357	2.93467615631109	1799.14893298379	0.723416345741404	0.234006081981728	3.34350454014099e-06	0.00116231500309735
"FMOD"	5.47229027808903	2.93467615631109	69.5817841133472	-0.886772275229826	0.276355915099067	3.37061944518385e-06	0.00116231500309735
"CPA6"	5.38231355349215	2.85468365262081	27.5015440233448	1.192006693949	0.46499581708724	4.14654560745636e-06	0.00139738586971279
"RNF130"	5.36528310949556	2.84875448255386	2546.97697672166	-0.211643564257425	0.0531839661069757	4.31237868241156e-06	0.00141659438958987
"ADAMTS3"	5.35707922822981	2.84875448255386	723.139672468737	0.31053378499105	0.0851839339698608	4.39461437288468e-06	0.00141659438958987
"TCTN2"	5.21745923825469	2.71847451883288	269.010667247853	0.391117578633632	0.13027887603667	6.06095084358498e-06	0.0019121655129506
"KRCC1"	5.19105584384136	2.70121450385942	200.10294389528	0.718684756815931	0.258407119887051	6.44086440208662e-06	0.00198969036154459
"XPOT"	5.06636747490367	2.58548097757466	7393.85692209351	-0.159538152869701	0.0451458924803798	8.58286981305735e-06	0.00259728150179621
"ZDHHC14"	5.05697392649069	2.58486135346918	245.047962195805	0.423822632757926	0.155982365621114	8.77053474761062e-06	0.0026009897847514
"SLPI"	5.03259429245152	2.56908189119193	152.936447949339	0.890651884950452	0.344155947811963	9.27696050239712e-06	0.00269723079077538
"C9orf152"	5.01719548610576	2.56211625238303	4215.68450995927	0.249354730000407	0.0687295460683253	9.61179531604194e-06	0.00274084040281288
"SLC24A1"	4.9830463458072	2.53623963805046	267.27598793772	0.383429906816472	0.136700204951359	1.03980919649836e-05	0.00290911146522221
"CNN3"	4.88185651990684	2.44316770237228	1660.34794195711	0.388309634094246	0.145308569086127	1.3126334888428e-05	0.00360439432825205
"SLC6A6"	4.86074067356272	2.43002078569944	749.058936866463	-0.305060442225675	0.0959189670090434	1.37803207542255e-05	0.0037151744753392
"PSME3"	4.80206223748815	2.37916768713683	5820.55030523385	-0.181071255455693	0.0530430226781151	1.5773852029826e-05	0.00417669067675463
"DRAIC"	4.71223979248983	2.29703207080479	523.997807567678	0.307582763063828	0.102976453121794	1.93981452759001e-05	0.0050462403184394
"HIST1H1C"	4.69559923268484	2.28794464889025	2222.69135163401	0.433616500006663	0.187402627898038	2.01558337397179e-05	0.00515294314987133
"ALPK3"	4.67998958554888	2.27975901983349	518.61559773524	0.487836427212688	0.220715847992466	2.08934623311009e-05	0.00525098744822989
"G3BP1"	4.63815758080229	2.2452262538284	8679.52976074766	-0.199757438478837	0.0605623345189142	2.30060690636047e-05	0.0056855665345855
"SPRED1"	4.62572101963594	2.23996827728918	218.580032340245	0.47804061126409	0.221082918857163	2.3674399958318e-05	0.00575481971445802
"EPHB3"	4.56395656187444	2.18526567401516	1648.8602466808	0.257306304038192	0.0825590729144827	2.72925074876316e-05	0.00652731130688067
"DYRK1A"	4.55043991339455	2.18193644802724	3439.39894186929	0.187498588771121	0.05883965630927	2.81552952942939e-05	0.00657754081984123
"SLC27A6"	4.54683905140088	2.18193644802724	59.8472952587527	-0.630155380502945	0.314322673401821	2.83897095002589e-05	0.00657754081984123
"SLC2A10"	4.53019045437252	2.17671942208207	342.386188038802	0.525340801308077	0.260243653892659	2.94991529478754e-05	0.0066570309780673
"WDR66"	4.52825806389773	2.17671942208207	52.1040895436281	0.627517052267025	0.316473198383084	2.96307016827922e-05	0.0066570309780673
"TRGC1"	4.50726771160439	2.16225993694769	14400.4501575303	-0.232019544335606	0.0739296147661788	3.10979877677595e-05	0.00688240242716923
"C11orf80"	4.45458715558193	2.11601349093064	854.800186920417	-0.227931597661035	0.0738286481228634	3.51085460512129e-05	0.00765572824775567
"CUTALP"	4.39465587925001	2.06242239262974	84.790621540139	-0.515728462719954	0.275562896363421	4.03036260593812e-05	0.00866119082910877
"USP9Y"	4.3622233383058	2.03623880096253	2583.37755368299	-0.223136387985962	0.074629006930341	4.34286832364282e-05	0.00919943592899653
"SNX25"	4.30642615810023	1.98660192946178	661.118095512183	0.272487290243168	0.100855850339153	4.9382587497129e-05	0.0103133099634849
"VPS36"	4.28511494833596	1.9713648674097	1303.42400119714	-0.216530302989652	0.0743897572056174	5.18662741974294e-05	0.0106815710249928
"PTPRM"	4.27654995204225	1.96879023480518	492.86244785478	0.298961755870088	0.121526458157525	5.28993149538331e-05	0.0107450827689786
"SRPX"	4.26473320164264	1.96667884025062	100.700180165879	0.407135756590332	0.217617869490483	5.43584166783728e-05	0.010797448958843
"PSMD5"	4.26270015421644	1.96667884025062	609.835615288284	-0.43348413151507	0.239178584778134	5.46134793575144e-05	0.010797448958843
"AK2"	4.24291426367882	1.95264527860209	7170.53929122825	-0.163154902626006	0.0583604157973894	5.71591466363758e-05	0.0111520503463708
"DUBR"	4.23483651300248	1.9506941209289	470.907130382172	0.422926231975421	0.23515039436514	5.82322387541304e-05	0.0112022659537875
"LINC01963"	4.22895979507978	1.9506941209289	313.83234719076	-0.444570851445268	0.253472247470129	5.90255720713506e-05	0.0112022659537875
"XK"	4.22414960699599	1.9506941209289	1246.43794328579	-0.394795907599727	0.213081452889725	5.96829653594018e-05	0.0112022659537875
"NFATC4"	4.20776344481633	1.93977085445075	57.1386912308881	0.725461882246185	0.539539653083093	6.19778569375652e-05	0.0114875957833777
"CNOT6L"	4.19984921351123	1.93725165503235	1609.18910915752	0.238632618387903	0.0869410095574641	6.31176450097764e-05	0.0115544251877156
"ZC3H12B"	4.15748743520924	1.9088209187658	28.5401800035923	0.702091874750578	0.542406321610588	6.95845086251428e-05	0.0123361340858425
"SORBS1"	4.15600003163958	1.9088209187658	141.785216561218	0.592215543675784	0.386404609963046	6.98232353208978e-05	0.0123361340858425
