"gene"	"neg_log10_pval"	"neg_Log10_padj"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"HDAC9"	3.94363593309531	0.0153921805370546	38.6362971668264	7.7674292874887e-05	0.00228551377285882	0.000113858135295938	0.96517890074431
"TNFAIP3"	3.8854447622306	0.0153921805370546	50.7863318293294	-5.93745955637035e-05	0.00228554972656099	0.00013018328847374	0.96517890074431
"CXCL10"	2.88098604338118	6.90403455248883e-05	1452.63149037912	-2.18921265916084e-05	0.00228559225227041	0.00131526709933437	0.999841041364842
"CCL2"	2.77437484403568	6.90403455248883e-05	26.7784835439342	-3.06413122793714e-05	0.00228558159761258	0.00168122235435736	0.999841041364842
"ZG16"	2.62665094943728	6.90403455248883e-05	26.0265776933533	3.71834188776795e-05	0.00228556969083094	0.00236237615609025	0.999841041364842
"RNU6-1"	2.4123352874482	6.90403455248883e-05	85.6992225437266	3.75330688024278e-05	0.00228556547563012	0.00386958786601284	0.999841041364842
"SLC27A5"	2.22106521622944	6.90403455248883e-05	22.260668411422	-3.94356491675952e-05	0.00228555732998477	0.00601083468455103	0.999841041364842
"BICC1"	2.15759903564831	6.90403455248883e-05	1097.13274223993	-0.000137296784199044	0.00228503593436588	0.00695666298254924	0.999841041364842
"CPAMD8"	2.1449693968948	6.90403455248883e-05	308.112021291609	8.59936279125801e-05	0.00228537866451168	0.00716193875934275	0.999841041364842
"BRD3OS"	2.11042658896821	6.90403455248883e-05	450.053492334575	0.000155366005580328	0.00228485693015431	0.00775485016505415	0.999841041364842
"AL162595.1"	2.09178968090466	6.90403455248883e-05	241.068160530227	0.00012496841878915	0.00228511495290432	0.00809487821101538	0.999841041364842
"MAP3K7"	2.03406318040295	6.90403455248883e-05	1072.63637913633	-0.000159004160844713	0.0022847852995911	0.00924563660247037	0.999841041364842
"LRRC4C"	1.99344768801576	6.90403455248883e-05	130.551355433643	-7.98653637908285e-05	0.00228539120056169	0.0101520164308376	0.999841041364842
"C11orf80"	1.98782944833275	6.90403455248883e-05	854.800186920417	-0.000201678556209093	0.00228424916572783	0.0102842008940704	0.999841041364842
"FBN1"	1.97421314296726	6.90403455248883e-05	112.567159525456	-6.61079642125445e-05	0.00228545596181792	0.0106117462628687	0.999841041364842
"MPPE1"	1.94366286070615	6.90403455248883e-05	232.514157532935	0.000132717681497697	0.00228500033876989	0.01138510759557	0.999841041364842
"TMEM140"	1.93767567185966	6.90403455248883e-05	839.249609450849	-4.27140549851472e-05	0.00228553984469318	0.0115431497052324	0.999841041364842
"AL391684.1"	1.89552767910509	6.90403455248883e-05	19.4367676564001	-3.66006360495591e-05	0.00228555520030942	0.0127195668125782	0.999841041364842
