"gene"	"neg_log10_pval"	"neg_Log10_padj"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"TNFAIP3"	5.75096425498331	1.57988167762578	50.7863318293294	-7.49814048871233e-05	0.00224441158623381	1.7743355132373e-06	0.0263098469902826
"CXCL10"	4.5961341864987	0.726081604805154	1452.63149037912	-6.68530219134429e-05	0.00224441033007897	2.53434545801804e-05	0.187896372257458
"MAP3K7"	3.82509661544453	0.131135292806669	1072.63637913633	-0.000221162391214432	0.00224370794113244	0.000149590283262897	0.739374906740745
"ZNF697"	3.56279683118876	4.78117390243936e-06	445.512609881012	0.000215757257789089	0.00224368268390883	0.000273654862123037	0.999988991000845
"NFKB2"	3.33624175478214	4.78117390243936e-06	388.841174358814	-0.000131761863382508	0.00224415106746284	0.000461060848538916	0.999988991000845
"AC008105.1"	2.90035710512161	4.78117390243936e-06	19.5967254901165	-3.06582163078489e-05	0.00224444633422786	0.00125789066705447	0.999988991000845
"CLEC3A"	2.86863382606371	4.78117390243936e-06	52.3297162470686	-4.14984330206963e-05	0.00224442909953412	0.0013532130393694	0.999988991000845
"RELB"	2.79206264443211	4.78117390243936e-06	169.993877682279	-6.50340341101294e-05	0.00224437169797688	0.00161412571186568	0.999988991000845
"CXCL1"	2.48157580828355	4.78117390243936e-06	13.4999981699987	-3.3647130730207e-05	0.00224443725035724	0.00329931811628945	0.999988991000845
"HDAC9"	2.44271665422246	4.78117390243936e-06	38.6362971668264	4.12229419796436e-05	0.00224442177152764	0.00360813971298284	0.999988991000845
"RNU6-1"	2.39474872422145	4.78117390243936e-06	85.6992225437266	3.64216130978287e-05	0.00224443072926644	0.00402950107322076	0.999988991000845
"CX3CL1"	2.39384143613897	4.78117390243936e-06	12.9624113983348	-4.08964011960678e-05	0.00224442138853286	0.00403792793545222	0.999988991000845
"CXCL8"	2.39290706306629	4.78117390243936e-06	32.9756345068811	-2.86642409940239e-05	0.0022444443091725	0.00404662478259781	0.999988991000845
"TFCP2L1"	2.38877392888388	4.78117390243936e-06	94.7577301485434	-6.27678561311327e-05	0.0022443600066617	0.00408531991496023	0.999988991000845
"FBN1"	2.32696877815671	4.78117390243936e-06	112.567159525456	-6.60225888682284e-05	0.00224434487405576	0.00471011186621921	0.999988991000845
"AC245060.7"	2.27156973832753	4.78117390243936e-06	17.8137167480347	3.41014548845863e-05	0.00224443306263425	0.0053509422228018	0.999988991000845
"NXPH2"	2.2462984024002	4.78117390243936e-06	45.6615949568154	-4.86864204526955e-05	0.0022443974469122	0.00567154781197951	0.999988991000845
"BIRC3"	2.17034062176075	4.78117390243936e-06	1476.27906948493	-6.27527584616036e-05	0.00224434687823445	0.00675552924245107	0.999988991000845
"FMOD"	2.09860099440846	4.78117390243936e-06	69.5817841133472	-5.64069833327948e-05	0.00224436577520628	0.00796891153422438	0.999988991000845
"PLPP3"	2.06670499639972	4.78117390243936e-06	537.974956532406	-0.00014563345467101	0.00224378208705441	0.00857620203859539	0.999988991000845
"COL11A2"	2.0656011181846	4.78117390243936e-06	13.2227572140091	-2.74726239325248e-05	0.00224444210946027	0.00859802852910849	0.999988991000845
