"statistic"	"source"	"condition"	"score"	"p_value"
"mlm"	"Androgen"	"CHD1g2_CTRL"	2.55976755904595	0.0104840588484463
"mlm"	"EGFR"	"CHD1g2_CTRL"	1.39822045507619	0.162067819306547
"mlm"	"Estrogen"	"CHD1g2_CTRL"	0.394316084422392	0.693353368805268
"mlm"	"Hypoxia"	"CHD1g2_CTRL"	1.1587404047069	0.246580704429792
"mlm"	"JAK-STAT"	"CHD1g2_CTRL"	8.13646300255957	4.39129490824758e-16
"mlm"	"MAPK"	"CHD1g2_CTRL"	-2.78955321972829	0.00528482627038981
"mlm"	"NFkB"	"CHD1g2_CTRL"	1.64872586225627	0.0992250252241848
"mlm"	"PI3K"	"CHD1g2_CTRL"	0.169928098000731	0.865069005110114
"mlm"	"TGFb"	"CHD1g2_CTRL"	-0.105931853450815	0.915637855926032
"mlm"	"TNFa"	"CHD1g2_CTRL"	-2.07251422688891	0.0382347746188019
"mlm"	"Trail"	"CHD1g2_CTRL"	2.03840471954953	0.0415272051164822
"mlm"	"VEGF"	"CHD1g2_CTRL"	0.754879668452807	0.450333192890634
"mlm"	"WNT"	"CHD1g2_CTRL"	-2.12888734561115	0.0332800396354291
"mlm"	"p53"	"CHD1g2_CTRL"	0.118264843381637	0.905859417095306
"mlm"	"Androgen"	"CHD1g2_IFNg"	2.44974595658931	0.0143072023511877
"mlm"	"EGFR"	"CHD1g2_IFNg"	1.3718096691842	0.170143481934728
"mlm"	"Estrogen"	"CHD1g2_IFNg"	-0.145113348742319	0.884623354333909
"mlm"	"Hypoxia"	"CHD1g2_IFNg"	0.817792810084904	0.41348866421637
"mlm"	"JAK-STAT"	"CHD1g2_IFNg"	7.18210040577719	7.19194118144108e-13
"mlm"	"MAPK"	"CHD1g2_IFNg"	-4.16646152028157	3.11119661466131e-05
"mlm"	"NFkB"	"CHD1g2_IFNg"	0.805620608408538	0.420474576895913
"mlm"	"PI3K"	"CHD1g2_IFNg"	-0.709194065823954	0.478215222401574
"mlm"	"TGFb"	"CHD1g2_IFNg"	-0.278735225166721	0.780451920369721
"mlm"	"TNFa"	"CHD1g2_IFNg"	-0.800831788425	0.423241883584528
"mlm"	"Trail"	"CHD1g2_IFNg"	1.15785053963512	0.246943711570595
"mlm"	"VEGF"	"CHD1g2_IFNg"	0.770434810840455	0.441054303449638
"mlm"	"WNT"	"CHD1g2_IFNg"	-1.42185110598122	0.155090543583116
"mlm"	"p53"	"CHD1g2_IFNg"	0.244494709924646	0.806851086538331
"mlm"	"Androgen"	"CHD1g2MAP3K7g2_CTRL"	3.4121983430809	0.000646135611199265
"mlm"	"EGFR"	"CHD1g2MAP3K7g2_CTRL"	0.815163009080488	0.414992120654158
"mlm"	"Estrogen"	"CHD1g2MAP3K7g2_CTRL"	0.7720272922237	0.44011058521935
"mlm"	"Hypoxia"	"CHD1g2MAP3K7g2_CTRL"	0.101515280706127	0.919142802599254
