replicate,condition,group,timepoint
VCaPCHD1g2_CTRL_R1,VCaPCHD1g2_CTRL,VCaPCHD1g2,CTRL
VCaPCHD1g2_CTRL_R2,VCaPCHD1g2_CTRL,VCaPCHD1g2,CTRL
VCaPCHD1g2_CTRL_R3,VCaPCHD1g2_CTRL,VCaPCHD1g2,CTRL
VCaPCHD1g2_IFNg24h_R1,VCaPCHD1g2_IFNg24h,VCaPCHD1g2,IFNg24h
VCaPCHD1g2_IFNg24h_R2,VCaPCHD1g2_IFNg24h,VCaPCHD1g2,IFNg24h
VCaPCHD1g2MAP3K7g2_CTRL_R1,VCaPCHD1g2MAP3K7g2_CTRL,VCaPCHD1g2MAP3K7g2,CTRL
VCaPCHD1g2MAP3K7g2_CTRL_R2,VCaPCHD1g2MAP3K7g2_CTRL,VCaPCHD1g2MAP3K7g2,CTRL
VCaPCHD1g2MAP3K7g2_CTRL_R3,VCaPCHD1g2MAP3K7g2_CTRL,VCaPCHD1g2MAP3K7g2,CTRL
VCaPCHD1g2MAP3K7g2_IFNg24h_R1,VCaPCHD1g2MAP3K7g2_IFNg24h,VCaPCHD1g2MAP3K7g2,IFNg24h
VCaPCHD1g2MAP3K7g2_IFNg24h_R2,VCaPCHD1g2MAP3K7g2_IFNg24h,VCaPCHD1g2MAP3K7g2,IFNg24h
VCaPCHD1g2MAP3K7g2_IFNg24h_R3,VCaPCHD1g2MAP3K7g2_IFNg24h,VCaPCHD1g2MAP3K7g2,IFNg24h
VCaPMAP3K7g1_CTRL_R1,VCaPMAP3K7g1_CTRL,VCaPMAP3K7g1,CTRL
VCaPMAP3K7g1_CTRL_R2,VCaPMAP3K7g1_CTRL,VCaPMAP3K7g1,CTRL
VCaPMAP3K7g1_CTRL_R3,VCaPMAP3K7g1_CTRL,VCaPMAP3K7g1,CTRL
VCaPMAP3K7g1_IFNg24h_R1,VCaPMAP3K7g1_IFNg24h,VCaPMAP3K7g1,IFNg24h
VCaPMAP3K7g1_IFNg24h_R2,VCaPMAP3K7g1_IFNg24h,VCaPMAP3K7g1,IFNg24h
VCaPMAP3K7g1_IFNg24h_R3,VCaPMAP3K7g1_IFNg24h,VCaPMAP3K7g1,IFNg24h
VCaPMAP3K7g2_CTRL_R1,VCaPMAP3K7g2_CTRL,VCaPMAP3K7g2,CTRL
VCaPMAP3K7g2_CTRL_R2,VCaPMAP3K7g2_CTRL,VCaPMAP3K7g2,CTRL
VCaPMAP3K7g2_CTRL_R3,VCaPMAP3K7g2_CTRL,VCaPMAP3K7g2,CTRL
VCaPMAP3K7g2_IFNg24h_R1,VCaPMAP3K7g2_IFNg24h,VCaPMAP3K7g2,IFNg24h
VCaPMAP3K7g2_IFNg24h_R2,VCaPMAP3K7g2_IFNg24h,VCaPMAP3K7g2,IFNg24h
VCaPMAP3K7g2_IFNg24h_R3,VCaPMAP3K7g2_IFNg24h,VCaPMAP3K7g2,IFNg24h
VCaPNTC_CTRL_R1,VCaPNTC_CTRL,VCaPNTC,CTRL
VCaPNTC_CTRL_R2,VCaPNTC_CTRL,VCaPNTC,CTRL
VCaPNTC_CTRL_R3,VCaPNTC_CTRL,VCaPNTC,CTRL
VCaPNTC_IFNg24h_R1,VCaPNTC_IFNg24h,VCaPNTC,IFNg24h
VCaPNTC_IFNg24h_R2,VCaPNTC_IFNg24h,VCaPNTC,IFNg24h
VCaPNTC_IFNg24h_R3,VCaPNTC_IFNg24h,VCaPNTC,IFNg24h
